Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,742 B,(856 B),(115 B),-37.75
12M 2014,"1,149 B",(953 B),195 B,64.23
12M 2015,"1,182 B","(1,108 B)",73 B,24.08
12M 2016,"1,561 B",(896 B),665 B,218.47
12M 2017,"1,547 B",(971 B),577 B,189.51
12M 2018,"1,722 B","(1,116 B)",605 B,198.90
12M 2019,"1,758 B","(1,724 B)",34 B,11.76
12M 2020,"1,855 B","(1,724 B)",131 B,45.68
12M 2021,"1,969 B","(2,977 B)","(1,008 B)",-352.12
12M 2022,"1,780 B","(2,729 B)",(949 B),-331.28
12M 2023,"2,375 B","(2,862 B)",(487 B),-170.02
12M 2024,"1,702 B","(2,273 B)",(571 B),-199.29
