Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,841 B,(12 B),829 B,191.05
12M 2013,"1,077 B",(15 B),"1,062 B",24.48
12M 2014,776 B,(93 B),683 B,15.74
12M 2015,968 B,(60 B),908 B,18.85
12M 2016,698 B,(73 B),625 B,12.97
12M 2017,755 B,(18 B),737 B,15.29
12M 2018,341 B,(46 B),294 B,6.11
12M 2019,"1,949 B",(58 B),"1,890 B",39.22
12M 2020,"2,898 B",(4 B),"2,894 B",60.04
12M 2021,123 B,(45 B),78 B,1.62
12M 2022,"1,270 B",(112 B),"1,158 B",24.03
12M 2023,"1,342 B",(54 B),"1,288 B",26.72
12M 2024,748 B,(85 B),664 B,13.77
