Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,6.01 B,0.69,0.00,0.00,,0.43%,0.68%,7.89%,1.39
12M 2014,10.01 B,0.20,2220.00,78.17,,0.15%,0.20%,2.19%,1.04
12M 2015,10.04 B,0.47,1191.49,50.31,,0.37%,0.46%,2.38%,1.00
12M 2016,10.07 B,0.37,1770.27,129.89,,0.31%,0.36%,0.75%,0.39
12M 2017,10.07 B,0.04,19500.00,153.10,,0.03%,0.04%,1.89%,0.92
12M 2018,10.07 B,0.05,17600.00,359.54,8.08 B,0.04%,0.05%,0.73%,0.65
12M 2019,10.07 B,0.06,7000.00,186.83,5.11 B,0.06%,0.06%,0.45%,1.24
12M 2020,10.07 B,-1.26,-39.68,56.45,(1.20 B),-1.17%,-1.23%,-0.14%,-0.82
12M 2021,10.07 B,2.04,24.51,10.53,22.60 B,1.89%,1.95%,2.14%,1413.01
12M 2022,10.07 B,-0.31,-161.29,184.61,(3.60 B),-0.29%,-0.30%,-0.34%,-269.60
12M 2023,10.07 B,-0.27,-25.93,19.88,(2.93 B),-0.25%,-0.26%,-0.28%,-390.84
12M 2024,10.07 B,-0.20,-60.00,31.52,(2.25 B),-0.19%,-0.20%,-0.21%,-207.83
