Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2014,,,,,,,,,,,,,,,0.97
12M 2015,30.09,63.3,51.33,42.06,12.13,25.56,5.77,9.59,0.37,0.68,0.31,0.57,-6.0,-6.0,0.72
12M 2016,29.48,60.11,45.38,44.21,12.38,10.8,6.07,6.97,0.41,0.42,0.34,0.35,-8.61,-8.61,0.75
12M 2017,25.64,50.67,50.6,25.71,14.23,23.36,7.2,9.53,0.34,0.35,0.29,0.31,-1.55,-1.55,0.23
12M 2018,10.47,50.48,58.49,2.46,34.86,47.13,7.23,9.83,0.26,0.27,0.23,0.24,-2.67,-2.67,0.16
12M 2019,172.85,134.67,39.05,268.47,2.11,2.86,2.71,2.67,0.02,0.02,0.02,0.02,-0.04,-0.04,0.09
12M 2020,96.69,112.4,42.9,166.19,3.77,3.75,3.25,3.21,0.03,0.03,0.03,0.03,-0.05,-0.05,0.08
12M 2021,53.96,95.61,43.59,105.98,6.76,5.59,3.82,3.9,0.04,0.04,0.03,0.03,-0.05,-0.05,0.06
12M 2022,48.49,95.66,54.81,89.34,7.53,3.36,3.82,4.06,0.02,0.03,0.02,0.02,-0.03,-0.03,0.05
12M 2023,10530.34,89.06,64.37,10555.03,0.03,0.02,4.1,4.14,,,,,,,0.04
12M 2024,734754.84,49.26,61.24,734742.86,,,7.41,8.85,,,,,,,0.02
