Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.00 B,129939978.61,0.00,0.00,,2.06%,9.64%,9.27%,2.62
12M 2013,4.33 B,31.41,18.75,1.73,,1.64%,8.43%,5.46%,2.75
12M 2014,4.33 B,28.81,24.26,1.70,,1.28%,7.35%,5.50%,2.24
12M 2015,4.33 B,18.74,26.15,0.99,,0.73%,4.58%,4.40%,1.94
12M 2016,4.33 B,31.83,9.90,0.55,,1.10%,7.28%,4.66%,2.16
12M 2017,5.02 B,38.69,6.85,0.49,,1.39%,8.24%,5.38%,2.14
12M 2018,5.02 B,31.61,20.53,0.96,742.25 B,0.79%,6.22%,5.13%,1.72
12M 2019,5.77 B,13.27,21.93,0.42,945.04 B,0.32%,2.57%,4.55%,1.04
12M 2020,8.65 B,-7.05,-58.16,0.86,892.76 B,-0.26%,-1.82%,3.15%,0.73
12M 2021,8.65 B,-0.71,-591.55,0.90,"1,122.38 B",-0.02%,-0.17%,4.02%,0.84
12M 2022,8.65 B,16.76,18.85,0.57,"1,370.51 B",0.54%,3.72%,5.21%,1.21
12M 2023,8.65 B,38.56,7.26,0.47,"1,827.55 B",1.16%,7.68%,6.86%,1.34
12M 2024,8.65 B,26.40,5.64,0.24,"1,845.31 B",0.78%,5.05%,5.76%,1.16
