Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,(670 B),(447 B),"(1,117 B)",-1241134839.04
12M 2013,"(1,700 B)",(573 B),"(2,273 B)",-525.60
12M 2014,(494 B),(371 B),(865 B),-199.98
12M 2015,(389 B),(472 B),(861 B),-199.03
12M 2016,(281 B),(551 B),(832 B),-192.39
12M 2017,(619 B),(979 B),"(1,597 B)",-318.37
12M 2018,"(2,151 B)","(2,093 B)","(4,244 B)",-845.97
12M 2019,(819 B),"(3,971 B)","(4,790 B)",-830.22
12M 2020,"3,704 B",(940 B),"2,764 B",319.41
12M 2021,941 B,"(1,227 B)",(286 B),-33.01
12M 2022,907 B,"(1,349 B)",(441 B),-50.97
12M 2023,507 B,"(1,659 B)","(1,152 B)",-133.14
12M 2024,"2,217 B","(1,402 B)",815 B,94.18
