Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,517 B,(461 B),57 B,59.80
12M 2014,"1,245 B",(397 B),848 B,894.45
12M 2015,"1,516 B",,"1,169 B",1233.02
12M 2016,828 B,(573 B),254 B,268.10
12M 2017,494 B,(597 B),(103 B),-108.28
12M 2018,774 B,(891 B),(204 B),-214.90
12M 2019,882 B,(954 B),(72 B),-75.76
12M 2020,407 B,(771 B),(364 B),-383.85
12M 2021,753 B,(450 B),303 B,319.58
12M 2022,"1,110 B",(204 B),906 B,955.65
12M 2023,"1,311 B",(177 B),"1,133 B",1195.42
12M 2024,"1,373 B",(167 B),"1,207 B",1272.53
