Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,1 B,,1 B,4.43
12M 2009,(0 B),,(0 B),-1.27
12M 2010,(1 B),,(1 B),-6.50
12M 2011,(2 B),,(2 B),-8.45
12M 2012,(1 B),,(1 B),-3.33
12M 2013,3 B,,3 B,12.56
12M 2014,(49 B),,(49 B),-193.27
12M 2015,(3 B),,(3 B),-11.70
12M 2016,(28 B),(72 B),(99 B),-15.38
12M 2017,15 B,(92 B),(77 B),-11.99
12M 2018,4 B,(0 B),4 B,0.68
12M 2019,7 B,(33 B),(27 B),-4.13
12M 2020,(4 B),(0 B),(4 B),-0.68
12M 2021,2 B,(0 B),2 B,0.27
12M 2022,0 B,(0 B),0 B,0.01
12M 2023,(2 B),(0 B),(2 B),-0.38
