Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.23 B,-35.31,-0.48,0.48,,-18.95%,-30.73%,-60.91%,-4.44
12M 2009,0.23 B,-24.63,-2.03,4.49,,-17.43%,-29.03%,-23.19%,-4.36
12M 2010,0.23 B,-20.36,-2.11,3.35,,-16.50%,-31.58%,-14.44%,-3.97
12M 2011,0.23 B,-38.67,-1.32,4.57,,-75.58%,-149.85%,-25.63%,-5.48
12M 2012,0.23 B,-8.81,-6.13,7.75,,-19.15%,-51.87%,-48.69%,-9.60
12M 2013,0.23 B,-6.34,-15.77,3.64,,-3.23%,-59.60%,18.69%,4.60
12M 2014,0.25 B,-23.50,-4.26,5.94,,-6.56%,-153.84%,-12.82%,-2.43
12M 2015,0.25 B,-5.35,-18.50,4.74,,-17.69%,-52.30%,-4.95%,
12M 2016,6.45 B,3.18,23.27,4.71,,1.92%,2.63%,4.32%,
12M 2017,6.45 B,-3.02,-17.88,20.33,,-1.74%,-2.56%,-0.99%,-0.71
12M 2018,6.45 B,-1.49,-33.56,3.00,13.33 B,-0.90%,-1.28%,1.36%,0.38
12M 2019,6.45 B,-25.38,-1.97,14.87,(3.85 B),-17.48%,-27.87%,-0.63%,-0.24
12M 2020,6.45 B,-1.35,-37.04,1.55,42.93 B,-1.20%,-1.48%,7.10%,918.21
12M 2021,6.45 B,-18.90,-2.65,105.67,(3.63 B),-16.68%,-25.93%,-0.71%,-0.03
12M 2022,6.45 B,-5.54,-9.03,70.39,(0.55 B),-4.92%,-8.23%,-0.17%,-0.02
12M 2023,6.45 B,-0.72,-69.44,45.02,(3.99 B),-3.85%,-1.08%,-2.41%,-10.99
12M 2024,6.45 B,-1.41,-9.93,10.60,,-8.35%,-2.16%,0.81%,-0.10
