Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.79 B,-32.15,-4.29,0.52,,-5.28%,-12.50%,-6.85%,-1.05
12M 2014,0.79 B,-33.16,-3.47,0.35,,-5.06%,-14.83%,-1.17%,-0.32
12M 2015,0.79 B,-136.22,-0.81,0.62,,-27.64%,-159.09%,-8.59%,-1.80
12M 2016,0.79 B,-181.84,-0.38,0.65,,-54.30%,231.98%,-109.51%,-22.52
12M 2017,0.79 B,-54.51,-1.30,4.23,,-18.77%,40.95%,-162.07%,-241.17
12M 2018,12.10 B,5.92,28.72,182.35,(11.27 B),5.36%,9.30%,-5.63%,-6.26
12M 2019,13.31 B,-5.08,-14.37,11.49,(4.14 B),-4.98%,-7.48%,-4.80%,-1.85
12M 2020,13.31 B,-5.32,-9.40,7.19,(9.63 B),-5.51%,-8.51%,-4.41%,-2.36
12M 2021,13.31 B,-4.21,-11.88,3.57,11.80 B,-4.50%,-7.34%,-1.42%,-0.88
12M 2022,13.31 B,-2.81,-17.79,2.92,31.05 B,-3.08%,-5.16%,0.22%,0.12
12M 2023,13.31 B,0.68,73.53,3.19,26.65 B,0.77%,1.24%,0.03%,0.05
12M 2024,13.31 B,-4.68,-2.35,0.83,,-5.58%,-9.34%,-2.62%,-1.33
