Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"10,503 B","(9,651 B)",852 B,43.91
12M 2009,"2,313 B","(6,033 B)","(3,720 B)",-191.73
12M 2010,"2,794 B","(5,074 B)","(2,280 B)",-109.76
12M 2011,"1,238 B","(2,080 B)",(842 B),-40.53
12M 2012,"2,321 B","(3,264 B)",(943 B),-45.41
12M 2013,357 B,"(1,171 B)",(814 B),-39.19
12M 2014,760 B,(667 B),93 B,4.47
12M 2015,(440 B),(9 B),(449 B),-12.26
12M 2016,(713 B),(0 B),(713 B),-19.47
12M 2017,"(1,730 B)",(15 B),"(1,745 B)",-26.69
12M 2018,"(1,590 B)",(9 B),"(1,599 B)",-24.43
12M 2019,(811 B),(159 B),(970 B),-14.81
12M 2020,(247 B),(28 B),(275 B),-4.03
12M 2021,"(1,063 B)","(1,770 B)","(2,832 B)",-38.13
12M 2022,"(9,256 B)",(546 B),"(9,802 B)",-26.40
12M 2023,"(1,789 B)",(196 B),"(1,985 B)",-5.35
12M 2024,(83 B),(261 B),(343 B),-1.27
