Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.78,0.7,1.2,4.49,0.0,0.0,1.05,0.27,3.19
12M 2009,0.97,0.88,2.59,5.04,0.0,0.0,2.54,0.51,3.95
12M 2010,1.56,1.48,3.19,5.42,0.0,0.0,3.03,0.59,4.06
12M 2011,1.1,1.04,5.6,8.29,0.0,0.0,5.52,0.68,6.97
12M 2012,0.88,0.78,35.28,48.73,0.0,0.0,34.98,0.72,46.13
12M 2013,0.41,0.37,-11.05,-14.22,-0.0,0.0,-10.95,0.78,-14.83
12M 2014,0.35,0.33,-6.01,-7.7,-0.0,0.0,-5.97,0.78,-8.57
12M 2015,0.1,0.1,-1.8,-1.22,-0.0,0.0,-1.8,1.48,-2.26
12M 2016,0.69,0.69,-1.96,-1.14,-0.0,0.0,-1.95,1.71,-2.17
12M 2017,0.57,0.57,-4.6,-8.42,-0.0,0.0,-4.51,0.55,-7.77
12M 2018,0.4,0.4,-10.51,-19.79,-0.0,0.0,-10.06,0.53,-17.24
12M 2019,0.39,0.39,-9.3,-19.11,-0.0,0.0,-9.07,0.49,-16.47
12M 2020,0.31,0.31,-2.94,-5.73,-0.0,0.0,-2.85,0.51,-5.5
12M 2021,0.27,0.27,-3.95,-8.79,-0.0,0.0,-3.49,0.45,-7.44
12M 2022,0.84,0.84,0.4,2.84,0.0,0.0,0.36,0.14,1.06
12M 2023,0.83,0.83,0.37,2.72,0.0,0.0,0.32,0.14,0.93
12M 2024,1.01,1.01,0.35,2.59,0.0,0.0,0.31,0.13,0.81
