Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(10 B),(5 B),(15 B),-21.80
12M 2014,(0 B),(2 B),(2 B),-3.08
12M 2015,15 B,(16 B),(1 B),-1.57
12M 2016,26 B,(15 B),10 B,14.53
12M 2017,0 B,(2 B),(2 B),-3.14
12M 2018,1 B,(7 B),(6 B),-8.08
12M 2019,17 B,(9 B),8 B,11.28
12M 2020,6 B,(7 B),(1 B),-1.89
12M 2021,3 B,(7 B),(4 B),-6.44
12M 2022,22 B,(106 B),(84 B),-120.51
12M 2023,25 B,(90 B),(65 B),-93.53
12M 2024,18 B,(6 B),12 B,17.23
