Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2013,1.16,1.16,0.18,1.36,0.0,0.0,0.15,0.13,0.36
12M 2014,1.45,1.45,0.24,1.54,0.0,0.0,0.21,0.16,0.53
12M 2015,1.19,1.19,0.2,1.57,0.0,0.0,0.18,0.13,0.56
12M 2016,2.04,2.04,0.18,1.34,0.0,0.0,0.14,0.14,0.33
12M 2017,4.05,4.05,0.19,1.23,0.0,0.0,0.13,0.16,0.22
12M 2018,1.21,1.21,0.33,1.85,0.0,0.0,0.29,0.18,0.84
12M 2019,1.31,0.73,0.27,1.73,0.0,0.0,0.21,0.16,0.72
12M 2020,1.27,0.49,0.29,2.14,0.0,0.0,0.2,0.14,1.13
12M 2021,1.57,0.9,0.27,1.57,0.0,0.0,0.24,0.17,0.56
12M 2022,1.42,0.92,0.91,2.65,0.0,0.0,0.8,0.34,1.65
12M 2023,0.87,0.46,1.42,3.47,0.0,0.0,1.39,0.41,2.46
12M 2024,0.75,0.49,2.11,4.57,0.0,0.0,2.11,0.46,3.56
