Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,171 B,(210 B),(39 B),-558.83
12M 2011,549 B,(560 B),(11 B),-1.56
12M 2012,590 B,(456 B),134 B,14.35
12M 2013,755 B,(976 B),(221 B),-22.99
12M 2014,489 B,(497 B),(8 B),-0.83
12M 2015,70 B,(796 B),(726 B),-75.24
12M 2016,292 B,(408 B),(117 B),-12.09
12M 2017,702 B,(573 B),129 B,13.41
12M 2018,712 B,(264 B),447 B,46.38
12M 2019,(24 B),(294 B),(318 B),-32.94
12M 2020,195 B,(124 B),71 B,7.37
12M 2021,(13 B),(61 B),(73 B),-7.62
12M 2022,127 B,(84 B),43 B,4.45
12M 2023,105 B,(57 B),48 B,4.98
12M 2024,83 B,(39 B),44 B,4.59
