Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,,,3.41
12M 2010,7.97,2276.8,51.67,2233.1,45.82,,0.16,,3.07,,0.2,,0.4,,2.73
12M 2011,6.56,1493.33,46.48,1453.41,55.65,99.13,0.24,0.39,6.41,12.86,0.34,0.58,0.57,0.57,2.15
12M 2012,1.82,677.95,26.7,653.07,201.0,,0.54,,26.07,,1.17,,,,0.0
12M 2013,11.06,156.44,34.25,133.25,33.0,9.78,2.33,1.1,34.56,17.18,0.79,0.39,1.82,1.82,2.53
12M 2014,25.22,489.66,83.09,431.79,14.47,14.14,0.75,0.73,10.96,10.88,0.24,0.23,1.21,1.21,2.26
12M 2015,37.48,669.46,101.12,605.82,9.74,10.35,0.55,0.53,7.38,6.73,0.17,0.15,0.61,0.61,3.92
12M 2016,75.16,952.16,70.74,956.58,4.86,3.96,0.38,0.33,5.85,4.88,0.17,0.16,0.64,0.64,3.29
12M 2017,105.82,1062.36,41.75,1126.43,3.45,3.64,0.34,0.36,6.01,5.58,0.18,0.18,0.77,0.77,2.76
12M 2018,78.26,1461.22,53.21,1486.27,4.66,9.06,0.25,0.25,5.61,5.46,0.16,0.16,0.4,0.4,7.76
12M 2019,116.36,1375.73,42.23,1449.86,3.14,2.12,0.27,0.27,5.19,5.13,0.15,0.15,0.4,0.4,11.4
12M 2020,446.42,4322.28,134.97,4633.73,0.82,0.92,0.08,0.08,1.39,1.44,0.04,0.04,0.1,0.1,10.53
12M 2021,83.9,5330.49,105.23,5309.16,4.35,4.44,0.07,0.07,1.44,1.47,0.04,0.04,0.11,0.11,5.81
12M 2022,58.7,2763.3,40.89,2781.11,6.22,6.25,0.13,0.14,3.58,3.64,0.09,0.09,0.24,0.24,9.24
12M 2023,81.68,3088.96,45.75,3124.89,4.47,5.5,0.12,0.12,3.84,3.97,0.09,0.09,0.25,0.25,10.03
12M 2024,102.73,3345.93,38.77,3409.89,3.55,2.95,0.11,0.11,3.52,3.65,0.08,0.08,0.22,0.22,9.92
