Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,0.49,0.46,2.98,4.85,0.0,0.0,2.81,0.62,3.84
12M 2012,1.46,1.43,1.24,2.6,0.0,0.0,1.02,0.48,1.6
12M 2013,1.04,1.01,1.14,2.68,0.0,0.0,0.75,0.43,1.68
12M 2014,1.31,1.28,1.96,3.38,0.0,0.0,1.72,0.58,2.38
12M 2015,1.45,1.42,1.77,3.13,0.0,0.0,1.63,0.57,2.13
12M 2016,4.08,4.02,2.09,3.47,0.0,0.0,2.06,0.6,2.47
12M 2017,0.85,0.83,5.87,8.15,0.0,0.0,5.83,0.72,7.15
12M 2018,0.31,0.31,-2.47,-2.17,-0.0,0.0,-2.46,1.14,-3.17
12M 2019,0.29,0.29,-1.28,-1.06,-0.0,0.0,-1.23,1.21,-2.06
12M 2020,0.27,0.27,-0.9,-0.47,-0.0,0.0,-0.85,1.92,-1.47
12M 2021,7.2,7.12,0.0,1.18,0.0,0.0,-0.21,0.0,0.19
12M 2022,7.68,7.59,0.0,1.17,0.0,0.0,-0.15,0.0,0.19
12M 2023,7.57,7.48,0.0,1.18,0.0,0.0,-0.12,0.0,0.2
12M 2024,60.86,60.04,0.0,1.04,0.0,0.0,-0.1,0.0,0.06
