Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2010,0.42,0.12,-1.46,-0.81,-0.79,0.98,-1.46,1.82,-1.81
12M 2011,0.99,0.39,-2.23,-1.75,-0.0,0.0,-2.21,1.27,-2.75
12M 2012,1.04,0.44,2.7,5.0,0.0,0.0,2.69,0.54,4.0
12M 2013,1.01,0.38,2.6,4.37,0.0,0.0,2.57,0.59,3.37
12M 2014,1.0,0.43,2.14,3.64,0.0,0.0,2.12,0.59,2.64
12M 2015,1.26,0.66,1.73,3.09,0.0,0.0,1.53,0.56,2.09
12M 2016,1.27,0.56,1.33,2.63,0.0,0.0,1.16,0.51,1.63
12M 2017,1.04,0.41,1.79,3.32,0.0,0.0,1.7,0.54,2.31
12M 2018,1.01,0.55,1.76,3.29,0.0,0.0,1.72,0.54,2.29
12M 2019,1.08,0.47,2.03,3.65,0.0,0.0,1.88,0.55,2.65
12M 2020,1.02,0.41,1.99,3.76,0.0,0.0,1.8,0.53,2.76
12M 2021,1.09,0.39,2.09,3.65,0.0,0.0,1.89,0.57,2.65
12M 2022,1.18,0.42,1.79,3.35,0.0,0.0,1.74,0.53,2.35
12M 2023,1.28,0.6,1.61,3.18,0.0,0.0,1.47,0.51,2.18
12M 2024,1.22,0.56,1.51,3.08,0.0,0.0,1.36,0.49,2.08
