Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(57 B),(95 B),(153 B),-342.88
12M 2009,131 B,(18 B),112 B,252.50
12M 2010,3 B,(27 B),(24 B),-53.06
12M 2011,41 B,(232 B),(190 B),-62.10
12M 2012,35 B,(177 B),(142 B),-46.31
12M 2013,268 B,(185 B),83 B,26.80
12M 2014,232 B,(393 B),(162 B),-25.00
12M 2015,(371 B),(872 B),"(1,242 B)",-191.78
12M 2016,(482 B),(281 B),(763 B),-117.77
12M 2017,(291 B),(135 B),(426 B),-65.78
12M 2018,(165 B),(164 B),(329 B),-50.84
12M 2019,(269 B),(161 B),(430 B),-66.33
12M 2020,(448 B),(127 B),(575 B),-88.78
12M 2021,(48 B),(63 B),(111 B),-17.18
12M 2022,215 B,(48 B),166 B,25.68
12M 2023,(428 B),(78 B),(506 B),-23.54
