Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,13 B,(1 B),12 B,23.05
12M 2009,11 B,(2 B),10 B,19.71
12M 2010,(0 B),(1 B),(1 B),-3.00
12M 2011,9 B,(3 B),5 B,10.80
12M 2012,20 B,(2 B),20 B,36.31
12M 2013,20 B,(3 B),17 B,33.75
12M 2014,(13 B),(2 B),(16 B),-31.47
12M 2015,(4 B),(8 B),(12 B),-13.92
12M 2016,(41 B),(11 B),(52 B),-61.90
12M 2017,(51 B),(0 B),(51 B),-61.00
12M 2018,(43 B),(0 B),(43 B),-14.73
12M 2019,(59 B),(0 B),(59 B),-20.20
12M 2020,14 B,(4 B),10 B,3.28
12M 2021,27 B,(1 B),25 B,8.66
12M 2022,(76 B),(1 B),(77 B),-15.73
12M 2023,21 B,(0 B),21 B,4.24
12M 2024,1 B,(0 B),1 B,0.25
