Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,"1,627 B",(49 B),"1,578 B",132.21
12M 2012,652 B,(62 B),590 B,39.58
12M 2013,"1,236 B",(97 B),"1,139 B",76.38
12M 2014,"1,501 B",(101 B),"1,401 B",93.89
12M 2015,"3,150 B",(68 B),"3,083 B",206.64
12M 2016,"(1,132 B)",(47 B),"(1,179 B)",-78.92
12M 2017,"6,663 B",(31 B),"6,632 B",442.88
12M 2018,"9,427 B",(31 B),"9,396 B",627.32
12M 2019,"2,338 B",(22 B),"2,316 B",154.35
12M 2020,31 B,(286 B),(255 B),-16.97
12M 2021,"26,162 B",(71 B),"26,091 B",1737.61
12M 2022,"(8,746 B)",(248 B),"(8,994 B)",-599.00
12M 2023,"(9,697 B)",(149 B),"(9,846 B)",-655.72
12M 2024,"(4,220 B)",(129 B),"(4,349 B)",-289.65
