Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,0.00 B,57029.05,0.00,0.00,,0.60%,6.40%,126.47%,209.01
12M 2011,0.00 B,1744589.23,0.00,0.00,,25.60%,172.84%,171.54%,143.77
12M 2012,2.01 B,15.37,82.76,0.67,,1.22%,3.74%,19.41%,5.76
12M 2013,2.01 B,112.40,6.58,0.29,,5.95%,17.77%,38.16%,13.59
12M 2014,2.01 B,113.30,8.12,0.30,,6.10%,16.50%,30.05%,12.07
12M 2015,2.01 B,75.57,8.95,0.29,,3.90%,9.07%,20.40%,9.15
12M 2016,2.01 B,18.49,67.28,0.73,,1.06%,2.31%,14.61%,5.61
12M 2017,2.01 B,142.58,14.53,1.00,,6.08%,14.57%,26.98%,10.60
12M 2018,2.01 B,267.55,6.05,0.52,"1,638.39 B",7.41%,20.30%,30.98%,10.59
12M 2019,8.05 B,46.66,7.67,0.39,"1,313.90 B",4.26%,12.87%,17.78%,3.73
12M 2020,8.05 B,44.48,11.69,0.87,"1,192.77 B",3.29%,10.84%,10.89%,2.66
12M 2021,8.05 B,85.48,12.87,1.34,"1,878.16 B",5.62%,16.92%,15.75%,4.22
12M 2022,8.05 B,106.85,5.66,0.51,"2,340.91 B",6.13%,16.32%,18.21%,4.84
12M 2023,8.11 B,14.88,20.43,0.32,"1,362.08 B",0.82%,2.38%,8.24%,1.73
12M 2024,8.17 B,55.25,7.20,0.46,"2,089.68 B",3.12%,7.82%,12.08%,2.62
