Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2009,0.98,0.9,0.37,8.25,0.06,0.01,-0.6,0.04,6.37
12M 2010,1.15,1.1,0.18,10.69,0.0,0.0,-1.37,0.02,7.33
12M 2011,0.9,0.75,1.07,6.75,0.0,0.0,-0.69,0.16,4.98
12M 2012,0.76,0.56,0.57,3.06,0.0,0.0,0.15,0.19,1.76
12M 2013,0.9,0.67,0.54,2.99,0.0,0.0,-0.07,0.18,1.74
12M 2014,1.24,0.78,0.57,2.71,0.0,0.0,0.14,0.21,1.42
12M 2015,1.4,1.08,0.54,2.32,0.0,0.0,0.17,0.23,1.05
12M 2016,0.97,0.75,0.55,2.18,0.0,0.0,0.23,0.25,0.95
12M 2017,1.53,1.15,0.68,2.4,0.0,0.0,0.29,0.29,1.19
12M 2018,1.22,0.79,0.86,2.74,0.0,0.0,0.55,0.31,1.56
12M 2019,0.92,0.45,1.23,3.02,0.0,0.0,1.13,0.41,1.77
12M 2020,0.73,0.48,1.68,3.3,0.0,0.0,1.57,0.51,2.05
12M 2021,1.74,1.62,1.38,3.01,0.0,0.0,1.14,0.46,1.77
12M 2022,1.98,1.8,1.09,2.66,0.0,0.0,0.78,0.41,1.41
12M 2023,1.6,1.44,1.23,2.89,0.0,0.0,1.08,0.43,1.6
12M 2024,1.74,1.61,0.96,2.5,0.0,0.0,0.77,0.39,1.28
