Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,213 B,(164 B),49 B,13.69
12M 2010,358 B,(666 B),230 B,-39.45
12M 2011,631 B,"(1,286 B)",(654 B),-143.63
12M 2012,"1,277 B","(4,897 B)","(3,620 B)",-754.71
12M 2013,"1,586 B","(2,283 B)",,-145.21
12M 2014,"2,553 B","(2,363 B)","(2,363 B)",39.50
12M 2015,"2,218 B","(1,591 B)",627 B,130.78
12M 2016,"3,774 B","(1,365 B)","2,409 B",531.55
12M 2017,"3,186 B","(1,864 B)","1,322 B",291.79
12M 2018,"3,240 B","(1,854 B)","1,386 B",305.90
12M 2019,"3,691 B","(2,039 B)","2,003 B",72.91
12M 2020,"3,786 B","(2,052 B)","1,735 B",76.56
12M 2021,"4,465 B","(7,006 B)","(2,540 B)",-112.13
12M 2022,"4,809 B","(3,903 B)",906 B,40.00
12M 2023,"4,382 B","(2,152 B)","2,230 B",98.41
12M 2024,"5,129 B","(2,128 B)","3,001 B",132.47
