Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,3.61 B,69.72,0.00,0.00,,13.50%,47.89%,32.09%,
12M 2010,4.56 B,74.48,33.57,16.97,,6.56%,15.83%,15.52%,
12M 2011,4.56 B,104.10,22.81,11.16,,6.89%,18.88%,13.19%,
12M 2012,4.80 B,175.53,32.47,15.94,,5.88%,21.08%,14.11%,
12M 2013,4.80 B,260.19,22.29,10.34,,6.67%,31.29%,15.25%,
12M 2014,4.80 B,271.34,35.75,14.07,,5.91%,32.69%,18.09%,
12M 2015,4.80 B,298.11,19.71,8.24,,6.27%,93.46%,15.75%,
12M 2016,4.53 B,284.76,17.49,6.08,,5.46%,82.94%,14.31%,
12M 2017,4.53 B,511.18,12.57,7.24,,9.05%,75.01%,13.59%,
12M 2018,4.53 B,150.19,23.97,3.78,"3,719.90 B",2.34%,20.19%,13.62%,
12M 2019,22.66 B,36.17,34.01,5.93,"4,010.56 B",2.65%,16.41%,13.74%,
12M 2020,22.66 B,44.56,36.58,6.93,"4,617.13 B",2.76%,11.59%,15.54%,
12M 2021,22.66 B,68.37,43.15,10.82,"5,428.81 B",3.70%,16.70%,15.33%,
12M 2022,22.66 B,72.28,31.82,7.99,"5,661.91 B",3.80%,15.85%,12.62%,
12M 2023,22.66 B,68.87,30.35,7.13,"5,727.65 B",3.35%,13.32%,12.86%,
12M 2024,22.66 B,60.10,34.94,6.93,"5,869.27 B",2.88%,13.76%,15.58%,
