Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,12.33 B,483.43,9.48,2.01,,2.42%,26.65%,6.78%,
12M 2009,12.33 B,592.73,12.90,2.67,,2.31%,26.81%,3.04%,
12M 2010,12.33 B,930.10,11.28,2.90,,2.84%,31.28%,3.99%,
12M 2011,24.67 B,611.41,11.04,3.46,,3.21%,30.30%,4.02%,
12M 2012,24.67 B,757.26,9.18,3.46,,3.39%,28.83%,4.44%,
12M 2013,24.67 B,865.22,8.38,3.01,,3.41%,26.96%,4.44%,
12M 2014,24.67 B,982.67,11.85,3.83,,3.02%,24.85%,3.97%,
12M 2015,24.67 B,1029.53,11.10,3.30,,2.89%,22.51%,3.63%,
12M 2016,24.67 B,1061.88,10.99,2.96,,2.61%,17.89%,3.61%,
12M 2017,123.35 B,235.08,15.48,4.21,,2.57%,17.39%,3.46%,
12M 2018,123.35 B,262.28,13.95,3.90,"43,591.19 B",2.49%,17.68%,3.44%,
12M 2019,123.35 B,278.67,15.79,4.27,"45,165.56 B",2.43%,16.66%,3.20%,
12M 2020,123.35 B,151.24,27.57,3.62,"32,053.69 B",1.23%,9.45%,2.03%,
12M 2021,151.56 B,204.98,20.05,4.14,"44,217.57 B",1.85%,10.76%,2.58%,
12M 2022,151.56 B,337.63,14.63,4.66,"67,920.84 B",2.74%,17.10%,3.63%,
12M 2023,151.56 B,396.54,14.44,4.61,"80,555.03 B",3.06%,19.30%,4.01%,
12M 2024,151.56 B,396.91,10.28,2.97,"84,421.36 B",3.02%,18.97%,3.97%,
