Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"(15,798 B)",(640 B),"(16,437 B)",-1333.63
12M 2009,"1,507 B",(442 B),"1,065 B",86.39
12M 2010,"44,813 B",(512 B),"44,302 B",3591.65
12M 2011,"15,551 B",(601 B),"14,950 B",606.02
12M 2012,"(24,367 B)","(1,445 B)","(25,813 B)",-1046.35
12M 2013,(490 B),"(1,948 B)","(2,438 B)",-98.85
12M 2014,"75,823 B","(3,065 B)","72,758 B",2949.35
12M 2015,"45,545 B","(3,285 B)","42,260 B",1713.05
12M 2016,"21,771 B","(3,653 B)","18,118 B",734.43
12M 2017,"39,299 B","(2,006 B)","37,293 B",302.34
12M 2018,"57,262 B","(1,823 B)","55,440 B",449.47
12M 2019,"44,583 B","(3,695 B)","40,888 B",331.49
12M 2020,"66,689 B","(3,129 B)","63,560 B",515.30
12M 2021,"32,588 B","(8,254 B)","24,334 B",160.56
12M 2022,"97,506 B","(10,538 B)","86,968 B",573.82
12M 2023,"(4,971 B)","(8,177 B)","(13,149 B)",-86.76
12M 2024,"24,283 B","(10,335 B)","13,949 B",92.03
