Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,126 B,(82 B),44 B,32.36
12M 2009,230 B,(83 B),147 B,109.27
12M 2010,184 B,(18 B),166 B,123.12
12M 2011,55 B,(17 B),38 B,27.97
12M 2012,24 B,(32 B),(8 B),-5.69
12M 2013,302 B,(26 B),276 B,204.88
12M 2014,126 B,(12 B),113 B,84.11
12M 2015,262 B,(26 B),236 B,175.26
12M 2016,48 B,(57 B),(9 B),-6.52
12M 2017,533 B,(23 B),511 B,378.53
12M 2018,(244 B),(41 B),(285 B),-211.59
12M 2019,375 B,(40 B),335 B,248.24
12M 2020,102 B,(12 B),89 B,66.14
12M 2021,616 B,(10 B),607 B,449.74
12M 2022,285 B,(31 B),254 B,188.27
12M 2023,97 B,(12 B),85 B,63.12
12M 2024,446 B,(18 B),428 B,317.24
