Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,8.35,,1.92,,17.0,,1.07,2.0,2.0,6.46
12M 2009,35.58,170.18,16.06,189.7,10.26,11.02,2.14,2.65,14.18,14.98,0.97,1.02,1.88,1.88,5.53
12M 2010,34.4,168.49,11.07,191.82,10.61,8.47,2.17,2.03,10.78,9.69,0.95,0.91,1.73,1.73,7.34
12M 2011,40.59,184.86,,218.83,8.99,8.45,1.97,1.88,10.55,10.85,1.01,0.99,1.81,1.81,7.26
12M 2012,45.83,183.09,8.83,220.09,7.96,7.84,1.99,1.97,10.88,9.99,1.04,1.01,1.93,1.93,4.8
12M 2013,41.64,218.62,10.86,249.4,8.77,9.99,1.67,1.52,10.91,11.23,1.02,0.99,1.79,1.79,5.77
12M 2014,33.78,215.87,6.89,242.76,10.8,10.47,1.69,1.68,12.14,12.63,1.06,1.02,1.81,1.81,7.9
12M 2015,37.33,261.84,6.07,293.1,9.78,8.26,1.39,1.28,,3.18,0.8,0.75,1.51,1.51,5.74
12M 2016,48.74,252.52,7.11,294.15,7.49,6.12,1.45,1.5,2.08,2.11,0.73,0.71,1.54,1.54,5.35
12M 2017,53.69,256.05,4.58,305.16,6.8,5.92,1.43,1.33,2.47,2.52,0.78,0.75,1.45,1.45,7.29
12M 2018,68.28,362.63,3.46,427.45,5.35,5.77,1.01,0.92,1.97,2.0,0.57,0.57,1.07,1.07,6.11
12M 2019,59.16,174.27,9.94,223.49,6.17,5.92,2.09,64.06,2.19,2.24,0.59,0.6,1.09,1.09,7.58
12M 2020,60.59,197.2,16.12,241.67,6.02,5.46,1.85,1.81,2.3,2.36,0.58,0.57,1.0,1.0,7.83
12M 2021,53.83,375.34,17.5,411.67,6.78,5.99,0.97,0.88,3.47,3.56,0.73,0.68,1.14,1.14,5.05
12M 2022,85.09,590.4,20.17,655.32,4.29,4.85,0.62,0.59,2.42,2.46,0.45,0.45,0.72,0.72,6.65
12M 2023,78.41,693.96,,764.44,4.65,6.09,0.53,0.51,2.27,2.35,0.4,0.4,0.61,0.61,7.99
12M 2024,61.25,702.79,17.53,746.51,5.96,6.66,0.52,0.5,2.41,2.32,0.4,0.39,0.67,0.67,4.3
