Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(1 B),(0 B),(1 B),-7.18
12M 2009,1 B,(2 B),(1 B),-6.07
12M 2010,7 B,(3 B),4 B,29.56
12M 2011,(3 B),(0 B),(4 B),-26.81
12M 2012,0 B,(2 B),(2 B),-16.02
12M 2013,2 B,(0 B),2 B,14.20
12M 2014,1 B,(1 B),1 B,0.00
12M 2015,(4 B),(1 B),(5 B),-37.97
12M 2016,(0 B),(0 B),(0 B),-1.71
12M 2017,6 B,(1 B),5 B,18.92
12M 2018,(1 B),(1 B),(1 B),-4.88
12M 2019,8 B,(0 B),8 B,29.27
12M 2020,2 B,,2 B,8.64
12M 2021,(8 B),(0 B),(9 B),-30.98
12M 2022,(1 B),(1 B),(1 B),-6.14
12M 2023,(0 B),(0 B),(0 B),-1.54
12M 2024,(8 B),(2 B),(2 B),-35.57
