Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,(90 B),(254 B),(344 B),-28.07
12M 2008,"(2,521 B)",(174 B),"(2,695 B)",-112.59
12M 2009,"(2,618 B)",(306 B),"(2,923 B)",-122.14
12M 2010,"8,544 B",(196 B),"8,348 B",348.78
12M 2011,"(4,434 B)",(447 B),"(4,881 B)",-194.23
12M 2012,"9,752 B",(529 B),"9,223 B",367.00
12M 2013,"4,018 B",(733 B),"3,285 B",130.71
12M 2014,"(1,898 B)",(871 B),"(2,769 B)",-110.17
12M 2015,"6,755 B","(1,305 B)","5,450 B",216.86
12M 2016,"3,291 B",(426 B),"2,865 B",114.01
12M 2017,"20,129 B",(205 B),"19,924 B",792.79
12M 2018,(750 B),(694 B),"(1,444 B)",-57.44
12M 2019,"2,071 B",(659 B),"1,412 B",56.18
12M 2020,"28,625 B",(680 B),"27,945 B",1111.96
12M 2021,"29,610 B",(13 B),"29,597 B",1177.68
12M 2022,"(16,360 B)",(302 B),"(16,662 B)",-662.99
12M 2023,"(1,797 B)",(284 B),"(2,081 B)",-82.82
12M 2024,"8,222 B",(513 B),"7,709 B",306.62
