Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,1.19,741.33,1.19,741.33,,,,,
12M 2008,1.25,388.66,1.25,388.66,,,,,
12M 2009,1.49,468.37,1.49,468.37,,,,,
12M 2010,3.32,575.20,3.32,575.20,,,,,
12M 2011,1.68,728.27,1.68,728.27,,,,,
12M 2012,1.22,897.98,1.22,897.98,,,,,
12M 2013,0.90,1026.28,0.90,1026.28,,,,,
12M 2014,0.74,1131.92,0.74,1131.92,,,,,
12M 2015,0.52,1141.14,0.52,1141.14,,,,,
12M 2016,0.62,1361.11,0.65,1302.13,,,,,
12M 2017,0.92,1470.26,0.96,1408.98,,,,,
12M 2018,0.58,1574.89,0.61,1511.38,,,,,
12M 2019,0.56,1722.09,0.58,1654.29,,,,,
12M 2020,0.61,1632.96,0.64,1562.72,,,,,
12M 2021,0.56,1726.00,0.59,1645.10,,,,,
12M 2022,0.66,1798.21,0.69,1715.57,,,,,
12M 2023,0.87,1957.40,0.90,1874.85,,,,,
12M 2024,0.82,2107.98,0.85,2026.66,,,,,
