Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(107 B),(385 B),(492 B),-36.53
12M 2009,(58 B),(11 B),(69 B),-5.13
12M 2010,(2 B),,(2 B),-0.14
12M 2011,162 B,(1 B),161 B,11.95
12M 2012,484 B,(0 B),483 B,35.86
12M 2013,23 B,(0 B),23 B,1.69
12M 2014,(186 B),(1 B),(187 B),-13.72
12M 2015,(310 B),(8 B),(318 B),-23.39
12M 2016,(136 B),(0 B),(136 B),-10.03
12M 2017,(75 B),(0 B),(75 B),-5.51
12M 2018,(130 B),(0 B),(130 B),-9.55
12M 2019,(72 B),(2 B),(74 B),-5.44
12M 2020,(21 B),(0 B),(21 B),-1.56
12M 2021,153 B,(1 B),152 B,11.19
12M 2022,16 B,(0 B),16 B,1.16
12M 2023,(9 B),(0 B),(9 B),-0.69
12M 2024,(14 B),(0 B),(14 B),-1.00
