Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,13.47 B,-0.77,-85.71,17.16,,-0.65%,-0.80%,-1.28%,
12M 2009,13.47 B,0.01,5400.00,26.54,,0.01%,0.01%,-1.06%,
12M 2010,13.47 B,-0.70,-71.43,0.00,,-0.72%,-0.72%,-0.11%,
12M 2011,13.47 B,0.91,247.25,17.85,,0.55%,0.93%,-0.01%,-0.02
12M 2012,13.48 B,5.24,66.79,22.42,,2.89%,5.36%,1.60%,2.51
12M 2013,13.59 B,21.04,21.39,9.56,,10.40%,17.72%,8.84%,20.23
12M 2014,13.59 B,31.35,14.77,9.19,,13.89%,20.88%,9.73%,15.93
12M 2015,13.59 B,17.97,33.11,7.66,,7.56%,10.68%,20.31%,28.82
12M 2016,13.59 B,0.05,7800.00,10.31,,0.02%,0.03%,4.30%,2.36
12M 2017,13.59 B,1.44,118.06,7.70,,0.55%,0.81%,1.82%,2.59
12M 2018,13.59 B,0.11,3618.18,22.25,19.37 B,0.04%,0.06%,0.49%,0.56
12M 2019,13.59 B,-11.36,-4.40,2.08,41.73 B,-3.95%,-6.84%,1.14%,0.83
12M 2020,13.59 B,-9.36,-5.45,5.95,,-3.23%,-6.15%,-1.22%,-0.57
12M 2021,13.59 B,0.55,160.00,2.29,102.27 B,0.20%,0.36%,3.25%,1.77
12M 2022,13.59 B,-2.65,-21.51,4.10,3.74 B,-1.01%,-1.76%,0.09%,0.05
12M 2023,13.59 B,-2.60,-19.23,6.40,(1.19 B),-1.04%,-1.76%,-0.05%,-0.03
12M 2024,13.59 B,-4.56,-8.55,6.10,(11.49 B),-1.84%,-3.19%,-0.38%,-0.29
