Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,7 B,(0 B),7 B,5.14
12M 2009,482 B,(453 B),29 B,0.00
12M 2010,707 B,(149 B),559 B,191.42
12M 2011,"1,224 B",(236 B),988 B,338.60
12M 2012,"1,600 B",(241 B),"1,359 B",0.00
12M 2013,"1,671 B",(239 B),"1,432 B",490.65
12M 2014,"1,874 B",(271 B),"1,604 B",549.60
12M 2015,"2,249 B",(379 B),"1,870 B",641.04
12M 2016,"2,531 B",(412 B),"2,119 B",726.21
12M 2017,"2,214 B",(325 B),"1,889 B",647.35
12M 2018,"1,971 B",(690 B),"1,281 B",439.14
12M 2019,"1,909 B",(458 B),"1,452 B",517.52
12M 2020,90 B,(111 B),(21 B),-8.07
12M 2021,"2,408 B",(189 B),"2,220 B",845.20
12M 2022,"2,331 B",(279 B),"2,052 B",868.02
12M 2023,"2,039 B",(297 B),"1,742 B",770.61
12M 2024,"1,810 B",(142 B),"1,668 B",738.40
