Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,0.00 B,865185.05,0.00,0.00,,27.54%,45.65%,133.20%,10.17
12M 2011,0.55 B,180.64,0.00,0.00,,15.15%,75.69%,51.97%,14.68
12M 2012,1.00 B,72.30,42.12,7.97,,9.24%,15.31%,14.83%,7.12
12M 2013,1.10 B,146.98,15.92,5.00,,11.21%,15.11%,23.20%,14.67
12M 2014,1.10 B,122.03,24.13,6.52,,7.72%,10.95%,13.64%,9.16
12M 2015,1.10 B,63.84,25.42,3.29,,1.83%,3.98%,4.88%,3.79
12M 2016,1.10 B,3.34,476.05,4.52,,0.04%,0.23%,0.79%,0.88
12M 2017,11.00 B,3.11,69.45,5.27,,0.31%,2.13%,1.31%,1.84
12M 2018,14.30 B,41.27,7.80,2.18,982.99 B,4.41%,20.81%,6.63%,2.12
12M 2019,14.30 B,2.61,102.68,1.22,990.06 B,0.30%,1.43%,2.83%,0.59
12M 2020,15.66 B,-17.80,-11.80,1.29,587.42 B,-2.50%,-10.07%,-0.99%,-0.20
12M 2021,15.66 B,12.77,41.50,1.91,"1,913.89 B",1.73%,6.56%,12.37%,1.10
12M 2022,15.66 B,131.88,6.94,1.32,"5,187.22 B",15.93%,37.59%,42.31%,9.50
12M 2023,17.23 B,30.65,17.29,1.74,"1,887.94 B",4.92%,9.02%,11.83%,4.37
12M 2024,17.23 B,41.57,19.49,2.92,"2,035.97 B",6.39%,10.64%,14.04%,8.13
