Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,86 B,(7 B),79 B,799454.65
12M 2011,152 B,(11 B),141 B,256.46
12M 2012,68 B,(67 B),1 B,0.54
12M 2013,171 B,(231 B),(60 B),-54.51
12M 2014,98 B,(449 B),(351 B),-318.73
12M 2015,(90 B),"(1,189 B)","(1,279 B)",-1162.42
12M 2016,(156 B),"(3,871 B)","(4,027 B)",-3660.72
12M 2017,(11 B),"(2,101 B)","(2,112 B)",-191.96
12M 2018,394 B,(548 B),(155 B),-38.35
12M 2019,"1,219 B",(68 B),"1,151 B",80.46
12M 2020,661 B,(73 B),588 B,-4.66
12M 2021,"1,317 B",(26 B),"1,291 B",82.45
12M 2022,"4,970 B",(22 B),"4,948 B",0.00
12M 2023,"2,336 B",(41 B),"2,295 B",133.21
12M 2024,"2,307 B",(81 B),"2,226 B",129.21
