Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,13.76 B,25.07,7.18,0.46,,2.51%,4.90%,9.66%,1.02
12M 2009,13.76 B,24.08,8.72,0.57,,2.46%,4.70%,6.07%,2.08
12M 2010,13.77 B,61.76,10.52,1.41,,6.56%,11.52%,13.90%,4.45
12M 2011,13.85 B,56.29,17.59,1.91,,5.16%,9.71%,16.86%,5.18
12M 2012,13.97 B,93.00,25.81,3.76,,6.50%,12.36%,17.27%,8.11
12M 2013,14.05 B,44.15,43.04,2.66,,2.94%,6.69%,16.37%,5.00
12M 2014,14.20 B,49.65,28.70,1.90,,2.78%,6.25%,13.32%,7.11
12M 2015,14.20 B,3.67,299.73,1.48,,0.20%,0.49%,9.58%,3.66
12M 2016,14.20 B,14.36,42.83,0.83,,0.83%,2.21%,10.96%,3.52
12M 2017,14.20 B,34.78,16.96,0.77,,1.78%,5.34%,14.00%,3.74
12M 2018,14.20 B,58.22,4.16,0.29,"4,729.77 B",2.85%,8.70%,14.23%,3.49
12M 2019,15.33 B,91.54,3.80,0.41,"5,338.38 B",4.66%,12.68%,16.21%,3.60
12M 2020,16.58 B,55.04,5.27,0.40,"4,789.04 B",2.83%,7.46%,12.89%,3.51
12M 2021,16.58 B,83.76,3.10,0.31,"5,509.19 B",4.07%,10.33%,14.51%,4.70
12M 2022,16.58 B,70.99,3.92,0.38,"4,931.47 B",3.28%,7.88%,11.42%,5.60
12M 2023,16.58 B,40.86,6.56,0.44,"3,075.28 B",1.92%,4.35%,5.06%,2.04
12M 2024,16.58 B,32.40,5.65,0.30,"2,972.35 B",1.48%,3.29%,5.54%,2.18
