Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,31 B,(775 B),(744 B),-54.12
12M 2009,158 B,(362 B),(204 B),-14.84
12M 2010,(578 B),,"(1,983 B)",-143.97
12M 2011,925 B,(214 B),711 B,51.32
12M 2012,"1,702 B","(1,394 B)",308 B,22.07
12M 2013,"1,559 B","(1,975 B)",(416 B),-29.60
12M 2014,"1,545 B","(2,490 B)",(945 B),-66.52
12M 2015,"2,239 B","(2,514 B)",(275 B),-19.35
12M 2016,"4,290 B","(1,489 B)","2,801 B",197.29
12M 2017,"4,372 B","(1,983 B)","2,390 B",168.31
12M 2018,"4,168 B",(523 B),"3,645 B",256.70
12M 2019,"3,987 B","(1,544 B)","2,443 B",159.33
12M 2020,"3,291 B",(803 B),"2,488 B",150.04
12M 2021,"4,029 B",(105 B),"3,923 B",236.56
12M 2022,"3,130 B",(450 B),"2,680 B",161.59
12M 2023,"1,574 B","1,607 B","3,181 B",191.83
12M 2024,"1,898 B",,"1,898 B",114.44
