Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,610 B",(86 B),"1,523 B",661.08
12M 2009,"2,736 B",(58 B),"2,679 B",1162.57
12M 2010,"2,490 B",(581 B),(490 B),828.38
12M 2011,"3,601 B",(411 B),"3,189 B",1384.13
12M 2012,"2,213 B",(877 B),"1,335 B",579.52
12M 2013,"2,051 B","(1,242 B)",809 B,351.23
12M 2014,"1,976 B",(776 B),"1,200 B",520.92
12M 2015,"1,898 B",(723 B),"1,175 B",509.75
12M 2016,"1,928 B",(301 B),"1,627 B",706.07
12M 2017,"2,415 B",,(685 B),150.23
12M 2018,"7,868 B",(834 B),"7,034 B",610.54
12M 2019,"4,296 B","(1,246 B)","3,051 B",264.79
12M 2020,"3,514 B",(711 B),"2,802 B",243.24
12M 2021,"10,795 B",(955 B),"9,840 B",854.16
12M 2022,"12,527 B",(889 B),"11,638 B",1010.21
12M 2023,"3,105 B",(937 B),"2,167 B",188.14
12M 2024,"5,049 B","(1,232 B)","3,817 B",331.34
