Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(69 B),(57 B),(126 B),-61.69
12M 2009,280 B,(35 B),244 B,119.74
12M 2010,158 B,(68 B),90 B,42.03
12M 2011,99 B,(131 B),(32 B),-14.09
12M 2012,151 B,(149 B),1 B,0.60
12M 2013,3 B,(55 B),(52 B),-23.23
12M 2014,299 B,(14 B),284 B,126.64
12M 2015,(257 B),(19 B),(276 B),-119.60
12M 2016,793 B,(83 B),711 B,299.13
12M 2017,79 B,(52 B),27 B,11.05
12M 2018,348 B,(109 B),239 B,97.33
12M 2019,175 B,(30 B),144 B,58.79
12M 2020,"1,383 B",(22 B),"1,360 B",554.06
12M 2021,80 B,(19 B),60 B,24.52
12M 2022,127 B,(31 B),96 B,7.79
12M 2023,(74 B),(37 B),(111 B),-9.06
12M 2024,273 B,(123 B),151 B,12.28
