Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.31 B,55.68,29.63,1.00,,6.59%,18.87%,74.31%,6.02
12M 2009,0.31 B,100.90,16.55,1.14,,14.10%,26.81%,41.79%,10.78
12M 2010,0.31 B,92.85,3.72,0.20,,10.33%,21.15%,28.66%,17.19
12M 2011,0.31 B,90.57,14.80,0.66,,7.42%,18.05%,26.74%,6.85
12M 2012,0.31 B,109.85,13.29,0.68,,7.66%,16.94%,27.14%,8.01
12M 2013,0.31 B,76.14,7.49,0.20,,3.90%,8.98%,20.80%,7.24
12M 2014,0.31 B,196.01,4.06,0.31,,11.28%,18.90%,25.83%,12.64
12M 2015,0.31 B,131.93,4.89,0.31,,7.43%,10.69%,17.21%,15.58
12M 2016,0.31 B,206.61,4.60,0.45,,11.15%,14.76%,21.03%,19.83
12M 2017,0.31 B,130.99,6.57,0.44,,6.83%,9.14%,10.89%,26.66
12M 2018,0.31 B,102.95,6.22,0.25,45.12 B,4.45%,6.96%,6.73%,10.99
12M 2019,0.31 B,117.97,6.53,0.29,68.09 B,5.23%,7.67%,12.14%,11.83
12M 2020,0.31 B,118.23,6.39,0.30,63.36 B,5.59%,7.39%,10.77%,11.80
12M 2021,0.31 B,139.97,7.32,0.37,60.02 B,5.54%,8.47%,10.04%,12.72
12M 2022,0.31 B,115.66,8.08,0.34,47.18 B,4.66%,6.79%,7.51%,8.79
12M 2023,0.31 B,172.00,5.73,0.37,67.36 B,6.79%,9.48%,10.67%,14.66
12M 2024,0.31 B,183.19,5.79,0.36,70.68 B,7.00%,9.79%,10.78%,12.46
