Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,130 B,(75 B),54 B,27.16
12M 2012,(545 B),(76 B),(621 B),-273.11
12M 2013,288 B,(30 B),258 B,113.53
12M 2014,21 B,(10 B),11 B,4.86
12M 2015,(115 B),(5 B),(120 B),-52.84
12M 2016,(19 B),(1 B),(20 B),-8.79
12M 2017,360 B,(1 B),359 B,157.79
12M 2018,233 B,(11 B),222 B,97.76
12M 2019,(574 B),(11 B),(586 B),-257.67
12M 2020,(208 B),(15 B),(223 B),-98.14
12M 2021,684 B,(23 B),661 B,291.06
12M 2022,645 B,(367 B),278 B,122.55
12M 2023,"(1,084 B)",(172 B),"(1,084 B)",-552.68
12M 2024,(253 B),(245 B),(253 B),-219.00
