Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,1.15
12M 2011,44.68,145.8,170.5,19.98,8.17,,2.5,,16.15,,1.6,,30.88,,1.05
12M 2012,62.07,243.67,192.67,113.07,5.88,5.75,1.5,1.3,11.76,10.73,1.01,0.92,7.63,7.77,1.17
12M 2013,84.63,387.7,205.92,266.41,4.31,5.32,0.94,0.94,7.39,6.72,0.7,0.73,3.25,3.25,1.37
12M 2014,112.93,429.45,262.1,280.28,3.23,2.64,0.85,0.92,6.37,6.62,0.62,0.62,2.95,2.95,1.34
12M 2015,195.65,506.37,274.95,427.07,1.87,,0.72,0.74,4.56,4.36,0.44,0.44,2.6,2.6,1.3
12M 2016,206.53,459.05,166.84,498.74,1.77,1.71,0.8,0.95,3.78,3.73,0.45,0.48,1.78,1.78,1.6
12M 2017,133.45,195.43,133.21,195.67,2.74,2.86,1.87,1.95,5.97,5.6,0.85,0.86,3.78,3.78,1.42
12M 2018,102.88,153.57,218.36,38.09,3.55,3.72,2.38,2.01,6.92,6.24,1.02,0.93,11.53,11.53,1.12
12M 2019,138.47,316.37,338.67,116.17,2.64,2.53,1.15,0.95,3.83,3.76,0.61,0.57,10.8,10.8,1.08
12M 2020,175.28,440.58,267.02,348.84,2.08,2.14,0.83,0.79,2.92,2.83,0.45,0.44,-13.26,-13.26,0.95
12M 2021,78.07,159.69,156.49,81.27,4.68,3.97,2.29,3.3,7.16,6.51,1.05,1.1,-46.75,-46.75,0.97
12M 2022,59.19,115.19,230.51,-56.13,6.17,5.48,3.17,2.59,6.65,5.25,1.1,0.88,-27.96,-27.95,0.95
12M 2023,87.43,268.4,367.92,-12.09,,3.68,1.36,1.02,3.63,3.52,0.61,0.57,-7.52,-7.52,0.9
12M 2024,101.77,319.47,270.94,150.3,3.59,2.92,1.14,1.18,3.36,3.17,0.61,0.6,-5.22,-5.22,0.85
