Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,275 B,(168 B),108 B,53819.00
12M 2008,607 B,(247 B),360 B,179853.00
12M 2009,883 B,(474 B),410 B,204889.50
12M 2010,848 B,"(1,062 B)",(213 B),-13.53
12M 2011,246 B,"(1,530 B)","(1,284 B)",-81.40
12M 2012,198 B,"(1,649 B)","(1,451 B)",-91.99
12M 2013,"1,694 B","(2,167 B)",(473 B),-30.00
12M 2014,(29 B),"(2,477 B)","(2,505 B)",-158.81
12M 2015,"(1,020 B)","(2,636 B)","(3,655 B)",-231.72
12M 2016,903 B,"(1,974 B)","(1,071 B)",-55.37
12M 2017,"2,766 B","(2,132 B)",634 B,32.76
12M 2018,"(1,161 B)","(4,016 B)","(5,176 B)",-267.56
12M 2019,"2,448 B","(2,782 B)",(334 B),-17.24
12M 2020,999 B,(372 B),627 B,32.38
12M 2021,"1,712 B","(1,108 B)",604 B,31.23
12M 2022,"4,780 B",(510 B),"4,270 B",220.74
12M 2023,"2,534 B",(432 B),"2,102 B",108.66
12M 2024,"1,424 B",(406 B),"1,019 B",52.65
