Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,0.12 B,21.28,17.86,0.52,,5.28%,8.03%,-0.94%,-0.42
12M 2016,0.12 B,10.36,62.74,1.04,,2.62%,3.59%,-1.57%,-17.14
12M 2017,0.42 B,4.02,111.94,3.53,,3.38%,4.64%,0.34%,
12M 2018,0.59 B,2.92,82.19,1.72,2.66 B,3.31%,4.46%,3.69%,58.42
12M 2019,0.59 B,1.25,280.00,2.44,2.96 B,1.50%,1.79%,4.56%,69.74
12M 2020,0.59 B,-9.43,-11.03,1.20,(3.53 B),-13.27%,-15.65%,-9.97%,-145.84
12M 2021,0.59 B,5.07,50.89,2.58,1.32 B,6.79%,7.72%,1.38%,19.90
12M 2022,0.59 B,1.69,96.45,2.23,(0.55 B),2.27%,2.49%,-2.30%,
12M 2023,0.59 B,-0.99,-137.37,1.84,(1.80 B),-1.38%,-1.48%,-5.09%,
12M 2024,0.59 B,-2.87,-71.08,3.86,(5.07 B),-4.17%,-4.46%,-13.05%,
