Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,31 B,(76 B),(45 B),-690661.54
12M 2013,184 B,(59 B),125 B,1927138.46
12M 2014,(92 B),(182 B),(274 B),-2282608.33
12M 2015,(73 B),(108 B),(180 B),-126.29
12M 2016,12 B,(164 B),(152 B),-106.43
12M 2017,240 B,(55 B),186 B,129.98
12M 2018,105 B,(204 B),(99 B),-69.61
12M 2019,17 B,(427 B),(409 B),-286.43
12M 2020,(71 B),(381 B),(452 B),-316.69
12M 2021,592 B,(341 B),251 B,175.54
12M 2022,240 B,(279 B),(38 B),-26.67
12M 2023,750 B,(208 B),542 B,379.47
12M 2024,409 B,(124 B),285 B,199.43
