Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,2.66 B,-45.66,-55.85,2.14,,-1.26%,-3.52%,14.11%,1.21
12M 2014,2.66 B,-74.46,-44.32,2.83,,-2.04%,-59.69%,11.44%,2.20
12M 2015,2.66 B,99.43,33.49,2.69,,2.72%,41.66%,11.18%,1.24
12M 2016,2.66 B,-97.94,-18.17,3.38,,-2.84%,-71.88%,1.84%,0.22
12M 2017,2.66 B,-515.88,-3.45,4.75,,-17.53%,215.52%,0.11%,0.01
12M 2018,2.66 B,-556.11,-3.02,3.42,(58.02 B),-19.85%,67.98%,-15.27%,-0.51
12M 2019,2.66 B,107.45,3.22,0.69,277.67 B,4.11%,36.52%,1.31%,0.22
12M 2020,2.66 B,243.93,1.68,1.37,81.37 B,13.68%,36.30%,-1.61%,-0.41
12M 2021,2.66 B,19.67,43.21,2.42,305.93 B,1.02%,2.79%,3.37%,3.07
12M 2022,2.80 B,-344.35,-0.49,0.39,337.58 B,-23.49%,-93.03%,2.45%,1.74
12M 2023,2.83 B,-7.26,-22.87,0.49,250.53 B,-0.52%,-2.05%,1.91%,1.07
12M 2024,3.55 B,2.43,49.38,0.32,262.63 B,0.21%,0.81%,2.06%,1.16
