Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,687 B,"(1,227 B)",(540 B),-203.10
12M 2014,735 B,(164 B),571 B,214.78
12M 2015,858 B,(220 B),638 B,239.82
12M 2016,365 B,(117 B),248 B,93.05
12M 2017,50 B,(222 B),(171 B),-64.41
12M 2018,158 B,(80 B),78 B,29.27
12M 2019,156 B,(70 B),86 B,32.26
12M 2020,73 B,(114 B),(41 B),-15.37
12M 2021,193 B,(166 B),27 B,10.05
12M 2022,288 B,(94 B),194 B,69.47
12M 2023,(76 B),(105 B),(181 B),-63.95
12M 2024,165 B,(100 B),65 B,18.33
