Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,132 B,(12 B),120 B,434.25
12M 2009,54 B,(3 B),51 B,185.19
12M 2010,276 B,(3 B),272 B,987.48
12M 2011,145 B,(15 B),131 B,210.64
12M 2012,152 B,(20 B),132 B,213.21
12M 2013,291 B,(17 B),274 B,441.95
12M 2014,226 B,(18 B),208 B,335.26
12M 2015,130 B,(10 B),121 B,194.27
12M 2016,121 B,(5 B),116 B,186.41
12M 2017,64 B,(3 B),61 B,98.35
12M 2018,(115 B),(8 B),(123 B),-198.85
12M 2019,(205 B),(4 B),(209 B),-336.59
12M 2020,(222 B),(5 B),(227 B),-365.69
12M 2021,(119 B),(15 B),(134 B),-215.10
12M 2022,(36 B),(6 B),(43 B),-68.60
12M 2023,(31 B),(4 B),(34 B),-55.07
12M 2024,(56 B),(7 B),(62 B),-100.49
