Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,10 B,(24 B),(14 B),-461258.54
12M 2013,50 B,(35 B),16 B,517044.02
12M 2014,(115 B),(20 B),(135 B),-360770.00
12M 2015,(62 B),(23 B),(85 B),-36.32
12M 2016,147 B,(25 B),122 B,52.12
12M 2017,99 B,(22 B),77 B,32.65
12M 2018,58 B,(45 B),13 B,5.74
12M 2019,94 B,(23 B),71 B,30.36
12M 2020,87 B,(17 B),70 B,29.95
12M 2021,34 B,(35 B),(1 B),-0.35
12M 2022,35 B,(16 B),18 B,7.85
12M 2023,207 B,(19 B),188 B,80.36
12M 2024,164 B,(22 B),142 B,60.55
