Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,0.68,0.28,0.53,4.27,0.0,0.0,0.49,0.12,3.27
12M 2012,0.62,0.28,1.06,6.41,0.0,0.0,1.02,0.17,5.41
12M 2013,0.66,0.32,1.36,9.02,0.0,0.0,1.11,0.15,8.02
12M 2014,1.39,0.58,0.05,1.66,0.0,0.0,0.03,0.03,0.66
12M 2015,4.39,2.07,0.08,1.21,0.0,0.0,-0.03,0.07,0.21
12M 2016,7.68,3.68,0.0,1.15,0.0,0.0,-0.1,0.0,0.15
12M 2017,3.13,1.35,0.48,1.82,0.0,0.0,0.42,0.26,0.72
12M 2018,1.8,0.66,0.54,1.96,0.0,0.0,0.52,0.28,0.86
12M 2019,2.01,0.72,0.43,1.83,0.0,0.0,0.42,0.24,0.73
12M 2020,1.61,0.53,0.36,1.77,0.0,0.0,0.35,0.2,0.66
12M 2021,1.53,0.57,0.41,1.87,0.0,0.0,0.4,0.22,0.75
12M 2022,1.64,0.71,0.41,1.79,0.0,0.0,0.37,0.23,0.71
12M 2023,1.94,0.74,0.33,1.67,0.0,0.0,0.29,0.2,0.59
12M 2024,1.88,0.94,0.38,1.71,0.0,0.0,0.24,0.22,0.63
