Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,,,1.56
12M 2014,,,429.83,-183.34,1.48,,,,21.93,,0.54,,2.22,,1.44
12M 2015,223.7,,590.1,-366.4,1.63,3.36,,,28.05,58.87,0.63,1.31,1.54,1.54,2.05
12M 2016,183.05,,,183.05,1.99,2.11,,,32.17,32.69,0.61,0.54,0.88,0.88,5.28
12M 2017,170.53,,,170.53,2.14,1.95,,,27.06,22.94,0.49,0.43,1.41,1.41,4.12
12M 2018,893.6,,,893.6,0.41,0.37,,,3.74,3.25,0.09,0.09,0.26,0.26,5.51
12M 2019,212.19,14.0,,226.19,1.72,1.61,26.08,26.08,14.88,15.6,0.43,0.43,1.47,1.47,3.12
12M 2020,385.16,20.97,,406.13,0.95,1.19,17.41,14.95,8.33,9.66,0.22,0.22,0.61,0.61,6.17
12M 2021,282.95,756.02,,1038.97,1.29,1.31,0.48,0.36,11.61,14.57,0.22,0.21,0.54,0.54,6.94
12M 2022,269.25,59.27,13.22,315.3,1.36,1.49,6.16,2.25,8.04,7.91,0.15,0.11,0.22,0.22,11.56
12M 2023,216.6,0.07,10.67,206.0,1.69,1.55,5262.65,7248.18,7.85,8.55,0.16,0.18,0.51,0.51,5.96
12M 2024,211.54,0.09,11.67,199.96,1.73,1.82,4193.41,2999.81,10.36,10.53,0.22,0.24,0.99,0.99,3.75
