Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,8 B,(7 B),1 B,0.43
12M 2009,(11 B),(2 B),(12 B),-3.88
12M 2010,119 B,(5 B),114 B,35.39
12M 2011,9 B,(12 B),(2 B),-0.76
12M 2012,(41 B),(5 B),(45 B),-10.64
12M 2013,22 B,(8 B),14 B,3.28
12M 2014,75 B,(35 B),40 B,9.33
12M 2015,(35 B),(37 B),(73 B),-17.04
12M 2016,29 B,(4 B),26 B,5.96
12M 2017,10 B,(6 B),4 B,0.82
12M 2018,12 B,(4 B),8 B,1.86
12M 2019,3 B,(5 B),(2 B),0.68
12M 2020,41 B,(2 B),39 B,9.19
12M 2021,133 B,(2 B),131 B,30.60
12M 2022,76 B,(7 B),69 B,16.04
12M 2023,53 B,(9 B),43 B,10.17
12M 2024,41 B,(57 B),(16 B),-3.82
