Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.00 B,68.80,16.77,0.14,,1.23%,23.90%,23.79%,1.83
12M 2009,1.00 B,154.71,5.35,0.12,,3.03%,35.25%,6.23%,0.67
12M 2010,1.04 B,527.14,13.87,0.69,,6.87%,43.42%,11.40%,1.78
12M 2011,1.38 B,587.98,21.08,1.09,,6.30%,17.38%,18.25%,4.88
12M 2012,2.77 B,289.93,17.70,0.72,,4.56%,15.46%,12.26%,3.21
12M 2013,2.77 B,192.55,24.64,0.65,,2.39%,9.10%,8.97%,1.84
12M 2014,2.77 B,-53.34,-72.61,0.55,,-0.63%,-2.58%,8.57%,1.34
12M 2015,2.77 B,-16.54,-138.39,0.35,,-0.18%,-0.81%,8.71%,1.36
12M 2016,2.77 B,-104.66,-12.12,0.23,,-1.13%,-5.14%,4.61%,0.71
12M 2017,2.77 B,-32.89,-24.72,0.15,,-0.29%,-1.10%,9.82%,1.58
12M 2018,2.77 B,8.41,248.63,0.33,"1,714.00 B",0.06%,0.26%,6.78%,1.05
12M 2019,2.77 B,61.50,18.18,0.17,"1,694.02 B",0.38%,2.10%,4.97%,0.66
12M 2020,3.99 B,-136.67,-11.09,0.40,"1,524.90 B",-1.13%,-5.04%,3.32%,0.47
12M 2021,3.99 B,-66.29,-13.20,0.18,"2,181.01 B",-0.52%,-2.40%,5.36%,0.78
12M 2022,3.99 B,111.03,7.84,0.14,"3,126.09 B",0.77%,3.74%,7.72%,
12M 2023,3.99 B,158.36,8.81,0.19,"4,090.74 B",1.01%,4.82%,9.12%,1.30
12M 2024,3.99 B,58.52,15.46,0.12,"4,191.27 B",0.35%,1.74%,7.43%,1.12
