Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(478 B),(5 B),(483 B),-205.59
12M 2009,386 B,(2 B),384 B,112.47
12M 2010,(18 B),(8 B),(25 B),-7.40
12M 2011,514 B,(3 B),511 B,141.14
12M 2012,(44 B),(4 B),(47 B),-13.05
12M 2013,(290 B),(24 B),(314 B),-42.11
12M 2014,242 B,(28 B),214 B,28.78
12M 2015,146 B,(195 B),(49 B),-4.27
12M 2016,607 B,(17 B),590 B,38.49
12M 2017,(783 B),(35 B),(818 B),-45.64
12M 2018,"2,694 B",(9 B),"2,684 B",125.77
12M 2019,"(2,623 B)",(17 B),"(2,640 B)",-123.68
12M 2020,763 B,(13 B),751 B,35.16
12M 2021,"(1,140 B)",(39 B),"(1,179 B)",-51.83
12M 2022,95 B,(125 B),(30 B),-1.21
12M 2023,(885 B),(9 B),(894 B),-36.13
12M 2024,497 B,(26 B),471 B,19.04
