Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.35 B,-1.63,-114.11,1.31,,-0.15%,-1.65%,-0.34%,
12M 2009,3.42 B,0.64,212.50,1.31,,0.07%,0.63%,0.40%,
12M 2010,3.43 B,4.09,38.88,1.49,,0.46%,5.04%,0.90%,
12M 2011,3.62 B,9.08,12.44,1.18,,0.94%,9.45%,1.29%,
12M 2012,3.62 B,9.13,15.44,1.61,,0.82%,8.88%,1.33%,
12M 2013,7.45 B,7.04,16.34,2.04,,1.02%,6.27%,1.45%,
12M 2014,7.45 B,8.32,12.02,1.25,,0.97%,6.86%,1.41%,
12M 2015,11.48 B,7.01,13.55,1.39,,0.96%,5.95%,1.30%,
12M 2016,15.33 B,6.72,56.99,6.08,,0.91%,5.32%,1.30%,
12M 2017,17.91 B,7.84,66.96,7.51,,0.86%,4.52%,1.28%,
12M 2018,21.34 B,9.57,32.39,3.98,305.66 B,0.88%,4.62%,1.47%,
12M 2019,21.34 B,2.39,82.85,2.06,85.41 B,0.19%,1.14%,0.28%,
12M 2020,21.34 B,1.46,708.90,11.44,80.61 B,0.11%,0.73%,0.21%,
12M 2021,22.75 B,-133.90,-13.52,24.99,"(3,277.67 B)",-18.06%,-123.93%,-14.72%,
12M 2022,24.74 B,0.46,878.26,9.70,149.93 B,0.08%,0.34%,0.71%,
12M 2023,24.74 B,0.98,316.33,8.61,184.51 B,0.20%,0.71%,0.94%,
12M 2024,24.74 B,2.06,112.62,5.49,118.27 B,0.39%,1.47%,0.41%,
