Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Keuntungan Penjualan Efek-Efek,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Jasa Administrasi,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Kerugian Transaksi Mata Uang Asing,Kerugian Dari Penjualan Aset-Aset Keuangan,Provisi Dan Komisi Lainnya,Premi Penjaminan Pemerintah,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,334005515000.000000,324542517000.000000,9462998000.000000,334005515000.000000,-224659495000.000000,-224659495000.000000,,-224659495000.000000,109346020000.000000,-113716576000.000000,,,,,,,,30222146000.000000,30222146000.000000,,-44245020000.000000,-55688395000.000000,,,,,-44005307000.000000,-143938722000.000000,-113716576000.000000,-4370556000.000000,1159464000.000000,1300907000.000000,-141443000.000000,1159464000.000000,-3211092000.000000,-614911000.000000,-881048000.000000,266137000.000000,-614911000.000000,-3826003000.000000,,,,,,-3826003000.000000,-3826003000.000000,,-3826003000.000000,,,,
12M 2009,354824154000.000000,345659985000.000000,9164169000.000000,354824154000.000000,-224837644000.000000,-224837644000.000000,,-224837644000.000000,129986510000.000000,-118727922000.000000,,,,,,,,28707178000.000000,28707178000.000000,,-45723845000.000000,-57776930000.000000,,,,,-43934325000.000000,-147435100000.000000,-118727922000.000000,11258588000.000000,-6655458000.000000,734728000.000000,-7390186000.000000,-6655458000.000000,4603130000.000000,-2404189000.000000,-3949255000.000000,1545066000.000000,-2404189000.000000,2198941000.000000,,,,,,2198941000.000000,2198941000.000000,,2198941000.000000,,,,
12M 2010,367158393000.000000,356973754000.000000,10184639000.000000,367158393000.000000,-194535305000.000000,-189083213000.000000,-5452092000.000000,-194535305000.000000,172623088000.000000,-145433923000.000000,,,,,,,3951796000.000000,1372498000.000000,5324294000.000000,,-55985415000.000000,-59179976000.000000,,,,,-35592826000.000000,-150758217000.000000,-145433923000.000000,27189165000.000000,-7807697000.000000,,,-7807697000.000000,19381468000.000000,-5354754000.000000,-6052995000.000000,698241000.000000,-5354754000.000000,14026714000.000000,,,,,,14026714000.000000,14026714000.000000,,14026714000.000000,,,,
12M 2011,347042389000.000000,347042389000.000000,,347042389000.000000,-190696249000.000000,-190696249000.000000,,-190696249000.000000,156346140000.000000,-114231078000.000000,,2663550000.000000,1707057000.000000,1317104000.000000,,,3346231000.000000,1361981000.000000,10395923000.000000,,-70578374000.000000,-64127730000.000000,,,-5389728000.000000,,15468831000.000000,-124627001000.000000,-114231078000.000000,42115062000.000000,2870219000.000000,,,2870219000.000000,44985281000.000000,-12128900000.000000,-11899557000.000000,-229343000.000000,-12128900000.000000,32856381000.000000,12284948000.000000,,12284948000.000000,12284948000.000000,45141329000.000000,32856381000.000000,32856381000.000000,,32856381000.000000,45141329000.000000,45141329000.000000,,45141329000.000000
12M 2012,316495383000.000000,316495383000.000000,,316495383000.000000,-133550745000.000000,-133550745000.000000,,-133550745000.000000,182944638000.000000,-132780560000.000000,,7660872000.000000,3033471000.000000,1941985000.000000,29202441000.000000,-435000000.000000,3285706000.000000,2289241000.000000,46978716000.000000,,-72325131000.000000,-64007045000.000000,,,-3888467000.000000,,-39538633000.000000,-179759276000.000000,-132780560000.000000,50164078000.000000,1306976000.000000,,,1306976000.000000,51471054000.000000,-18444476000.000000,-18444476000.000000,,-18444476000.000000,33026578000.000000,-8718185000.000000,,-8718185000.000000,-8718185000.000000,24308393000.000000,33026578000.000000,33026578000.000000,,33026578000.000000,24308393000.000000,24308393000.000000,,24308393000.000000
12M 2013,420623106000.000000,420623106000.000000,,420623106000.000000,-195481763000.000000,-195481763000.000000,,-195481763000.000000,225141343000.000000,-158573774000.000000,,15925444000.000000,2848646000.000000,22196852000.000000,4643288000.000000,-22641767000.000000,4774015000.000000,303437000.000000,28049915000.000000,,-85284052000.000000,-68830648000.000000,,,-2636180000.000000,,-29872809000.000000,-186623689000.000000,-158573774000.000000,66567569000.000000,5021662000.000000,,,5021662000.000000,71589231000.000000,-19149523000.000000,-19149523000.000000,,-19149523000.000000,52439708000.000000,-34453929000.000000,,-34453929000.000000,-34453929000.000000,17985779000.000000,52439708000.000000,52439708000.000000,,52439708000.000000,17985779000.000000,17985779000.000000,,17985779000.000000
12M 2014,598344410000.000000,598344410000.000000,,598344410000.000000,-339152201000.000000,-339152201000.000000,,-339152201000.000000,259192209000.000000,-178206504000.000000,,13257700000.000000,4217243000.000000,3018211000.000000,9076963000.000000,4340415000.000000,5509839000.000000,469509000.000000,39889880000.000000,,-105538525000.000000,-69928217000.000000,,,-1922074000.000000,,-40707568000.000000,-218096384000.000000,-178206504000.000000,80985705000.000000,4367944000.000000,,,4367944000.000000,85353649000.000000,-23352543000.000000,-23352543000.000000,,-23352543000.000000,62001106000.000000,15392155000.000000,,15392155000.000000,15392155000.000000,77393261000.000000,62001106000.000000,62001106000.000000,,62001106000.000000,77393261000.000000,77393261000.000000,,77393261000.000000
12M 2015,786709562000.000000,786709562000.000000,,786709562000.000000,-430938429000.000000,-430938429000.000000,,-430938429000.000000,355771133000.000000,-260076999000.000000,,7979339000.000000,4258745000.000000,9227415000.000000,23228577000.000000,,7709677000.000000,2827932000.000000,55231685000.000000,,-122368410000.000000,-81606711000.000000,,,-2038013000.000000,,-109295550000.000000,-315308684000.000000,-260076999000.000000,95694134000.000000,15101134000.000000,,,15101134000.000000,110795268000.000000,-30303388000.000000,,,-30303388000.000000,80491880000.000000,-18376503000.000000,,-18376503000.000000,-18376503000.000000,62115377000.000000,80491880000.000000,80491880000.000000,,80491880000.000000,62115377000.000000,62115377000.000000,,62115377000.000000
12M 2016,965085260000.000000,965085260000.000000,,965085260000.000000,-543413124000.000000,-543413124000.000000,,-543413124000.000000,421672136000.000000,-293165313000.000000,,20459802000.000000,4103974000.000000,,33030898000.000000,3300000000.000000,8799682000.000000,999711000.000000,70694067000.000000,,-142166910000.000000,-81322747000.000000,-2403456000.000000,,-1569540000.000000,,-136396727000.000000,-363859380000.000000,-293165313000.000000,128506823000.000000,12758689000.000000,,,12758689000.000000,141265512000.000000,-38262360000.000000,,,-38262360000.000000,103003152000.000000,-2360431000.000000,,-2360431000.000000,-2360431000.000000,100642721000.000000,103003152000.000000,103003152000.000000,,103003152000.000000,100642721000.000000,100642721000.000000,,100642721000.000000
12M 2017,1252069204000.000000,1252069204000.000000,,1252069204000.000000,-748946627000.000000,-748946627000.000000,,-748946627000.000000,503122577000.000000,-326417234000.000000,,6566092000.000000,15020614000.000000,1451647000.000000,22894139000.000000,7957754000.000000,,1215608000.000000,55105854000.000000,,-166501366000.000000,-71199339000.000000,,,,,-143822383000.000000,-381523088000.000000,-326417234000.000000,176705343000.000000,16927453000.000000,,,16927453000.000000,193632796000.000000,-53137261000.000000,,,-53137261000.000000,140495535000.000000,40350379000.000000,,40350379000.000000,40350379000.000000,180845914000.000000,140495535000.000000,140495535000.000000,,140495535000.000000,180845914000.000000,180845914000.000000,,180845914000.000000
