Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Bunga Yang Diterima,Provisi Dan Komisi Yang Diterima,"Total Penerimaan Bunga, Provisi Dan Komisi",Koreksi Laba Tahun Lalu,"Pembayaran Bunga, Provisi Dan Komisi",Pembayaran Kepada Karyawan,Pembayaran Surat Ketetapan Pajak Dan Surat Tagihan Pajak,Pembayaran Pajak Penghasilan,Pembayaran Kepada Pihak Ketiga,Penerimaan Dari Pihak Ketiga Lainnya,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Pendapatan Operasional Lainnya,Pembayaran Pajak Penghasilan Badan Dan Angsuran,Beban Operasional Lainnya,Pendapatan (Beban) Non Operasional - Bersih,Adjustment,(Kenaikan) Penurunan Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek Dan Obligasi Rekapitalisasi Pemerintah Yang,Tagihan Wesel Ekspor,Tagihan Derivatif,Tagihan Akseptasi,Tagihan Lainnya,Kredit Yang Diberikan,Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Laporan Laba,Efek Yang Dijual Dengan Janji Dibeli Kembali,Efek Yang Dibeli Dengan Janji Dijual Kembali,Aset Lain-Lain,Total (Kenaikan) Penurunan Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan:,Giro,Tabungan,Deposito Berjangka,Total Simpanan:,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Liabilitas Derivatif,Penerimaan Kembali (Pembayaran Pajak),Utang Pajak,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Agunan Yang Diambil Alih,Penerimaan Dividen,Hasil Penjualan Penyertaan Saham,Kenaikan Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain Dan Biaya Perolehan Diamortisasi,Penurunan (Kenaikan) Efek-Efek Yang Tersedia Untuk Dijual,Surat Berharga Diperdagangkan,Surat Berharga Yang Dijual Dgn Janji Dibeli Kembali,Surat Berharga Yg Dibeli Dgn Janji Dijual Kembali,Surat Berharga Yang Dimiliki Hingga Jatuh Tempo,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Bersih Dari Penerbitan Saham,(Penurunan) Kenaikan Tambahan Modal Disetor,(Penurunan) Kenaikan Agio Saham,Total Penerimaan Bersih Dari Penerbitan Saham,Pembayaran Pokok Liabilitas Sewa,Pembelian Kembali Saham Treasuri,Biaya Emisi Saham,(Pembayaran) Penerimaan Pinjaman Yang Diterima,(Pembayaran) Penerimaan Pinjaman Subordinasi,Kenaikan (Penurunan) Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Kenaikan (Penurunan) Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Penerimaan (Pembayaran) Surat Berharga Yang Diterbitkan Yang Jatuh Tempo,Pembagian Laba Untuk Dividen Dan Pkbl,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-477837234000.000000,,324542517000.000000,9462999000.000000,334005516000.000000,15544151000.000000,-224659495000.000000,-43620212000.000000,,,-131524141000.000000,,,30222146000.000000,,,,,,,,,,,,-91611635000.000000,,,,-29115324000.000000,-120726959000.000000,,-2030280000.000000,,-57015149000.000000,3429589000.000000,-320528284000.000000,-374113844000.000000,-2398669000.000000,,,,26288064000.000000,15176489000.000000,-337078240000.000000,,-477837234000.000000,429630960000.000000,36050000.000000,-5112282000.000000,,,,,,,,,30003265000.000000,404703927000.000000,,429630960000.000000,-25911012000.000000,,,,,,,,-22653012000.000000,-3258000000.000000,,,,,-25911012000.000000,-74117286000.000000,228753968000.000000,,154636682000.000000
12M 2009,386461885000.000000,,354034294000.000000,9578021000.000000,363612315000.000000,,-225734137000.000000,-45723845000.000000,,-1540280000.000000,-93526219000.000000,,,37313873000.000000,,,,,,,,,,,,49446129000.000000,,,,-24657419000.000000,24788710000.000000,,6799275000.000000,,125601593000.000000,18110369000.000000,147253684000.000000,290965646000.000000,11217857000.000000,,,,,18288690000.000000,327271468000.000000,,386461885000.000000,-445698702000.000000,734728000.000000,-2016455000.000000,,,,,,,,,58400905000.000000,-502817880000.000000,,-445698702000.000000,69782075000.000000,,114219285000.000000,,114219285000.000000,,,,-41179210000.000000,-3258000000.000000,,,,,69782075000.000000,10545258000.000000,154636681000.000000,,165181939000.000000
12M 2010,-17646495000.000000,,367100962000.000000,4103384000.000000,371204346000.000000,,-189361361000.000000,-52778298000.000000,-7620387000.000000,4074524000.000000,-62903076000.000000,,,13613364000.000000,,,,,,,,,,,,-77085274000.000000,,,,-2369959000.000000,-79455233000.000000,,-452509000.000000,,31071244000.000000,2378077000.000000,-100878111000.000000,-67428790000.000000,19513015000.000000,,,,,33947910000.000000,-14420374000.000000,,-17646495000.000000,-47741087000.000000,14816000.000000,-7725631000.000000,,,,,,-40030272000.000000,,,,,,-47741087000.000000,153223344000.000000,,1242868000.000000,,1242868000.000000,,,,155760476000.000000,-3780000000.000000,,,,,153223344000.000000,87835762000.000000,803723264000.000000,,891559026000.000000
12M 2011,513844958000.000000,369960983000.000000,,,369960983000.000000,,-197405122000.000000,,,,,,2663550000.000000,20658870000.000000,,-248950895000.000000,2860139000.000000,,,,,-8998000000.000000,,,,227386901000.000000,-43250000000.000000,,,26408761000.000000,201547662000.000000,,-128236000.000000,,213018197000.000000,24854486000.000000,141584759000.000000,379457442000.000000,-227308000.000000,,,,,-16592127000.000000,362509771000.000000,,513844958000.000000,32142691000.000000,10078000.000000,-3184583000.000000,,,,,,35317196000.000000,,,,,,32142691000.000000,22634528000.000000,,18746156000.000000,5442620000.000000,24188776000.000000,,,,-1554248000.000000,,,,,,22634528000.000000,568622177000.000000,842896959000.000000,1317105000.000000,1412836241000.000000
12M 2012,-43658524000.000000,320674182000.000000,,,320674182000.000000,,-137964139000.000000,,,,,,7660872000.000000,34777387000.000000,,-143123973000.000000,1260837000.000000,,,,,23459850000.000000,,,,-736760148000.000000,-28675000000.000000,,,36051002000.000000,-705924296000.000000,,5431978000.000000,,-386401563000.000000,21267426000.000000,653097558000.000000,287963421000.000000,306232894000.000000,,,,,-20647687000.000000,578980606000.000000,,-43658524000.000000,52485228000.000000,130763000.000000,-3553844000.000000,,,,,,55908309000.000000,,,,,,52485228000.000000,-65238118000.000000,,,,,,,,-65238118000.000000,,,,,,-65238118000.000000,-56411414000.000000,1412836241000.000000,1941985000.000000,1358366812000.000000
12M 2013,-289997756000.000000,418158707000.000000,,,418158707000.000000,,-194715635000.000000,,,,,,15925444000.000000,31917593000.000000,,-173109636000.000000,4774051000.000000,,,,,7579000000.000000,,,,-1190875297000.000000,-16709659000.000000,,,27897051000.000000,-1172108905000.000000,,-1660660000.000000,,350655658000.000000,40434856000.000000,674873982000.000000,1065964496000.000000,-247915946000.000000,,,,,-37227265000.000000,779160625000.000000,,-289997756000.000000,-517049507000.000000,247611000.000000,-23744579000.000000,,,,,,-493552539000.000000,,,,,,-517049507000.000000,270776091000.000000,,383268560000.000000,63727618000.000000,446996178000.000000,,,,-176220087000.000000,,,,,,270776091000.000000,-536271172000.000000,1358366812000.000000,,822095640000.000000
12M 2014,242458859000.000000,601398419000.000000,,,601398419000.000000,,-335303724000.000000,,,-24822548000.000000,,,15306979000.000000,18239522000.000000,,-162191403000.000000,4135086000.000000,,,,,,,,,-1036331867000.000000,,,,408401000.000000,-1035923466000.000000,,3094321000.000000,,-294459419000.000000,77753105000.000000,1302705947000.000000,1085999633000.000000,70549786000.000000,,,,,1976254000.000000,1161619994000.000000,,242458859000.000000,-24015322000.000000,232859000.000000,-27992168000.000000,,,,,,3743987000.000000,,,,,,-24015322000.000000,-10278181000.000000,,,,,,,,,,,,,-10278181000.000000,-10278181000.000000,208165356000.000000,822095640000.000000,-165000000.000000,1030095996000.000000
12M 2015,145953941000.000000,789476202000.000000,,,789476202000.000000,,-422546511000.000000,,,-26579889000.000000,,,8999037000.000000,42993601000.000000,,-211690186000.000000,15903092000.000000,,,,,,,,,-1424104753000.000000,-131040750000.000000,,,-1030068000.000000,-1556175571000.000000,,5254756000.000000,,101364129000.000000,143031860000.000000,1411401725000.000000,1655797714000.000000,-160690084000.000000,,,,,5211780000.000000,1505574166000.000000,,145953941000.000000,-120294056000.000000,174015000.000000,-194938564000.000000,,,,,,74470493000.000000,,,,,,-120294056000.000000,395616186000.000000,,402893452000.000000,,402893452000.000000,,,,-1201154000.000000,,,,,-6076112000.000000,395616186000.000000,421276071000.000000,1030095996000.000000,,1451372067000.000000
12M 2016,607108563000.000000,965491214000.000000,,,965491214000.000000,,-538727099000.000000,,,-38234596000.000000,,,20542493000.000000,42827256000.000000,,-200619165000.000000,14100916000.000000,,,,,,,,,-2162436947000.000000,149982728000.000000,,,5698533000.000000,-2006755686000.000000,,-8957842000.000000,,223498941000.000000,9295928000.000000,2128932454000.000000,2361727323000.000000,-175496000.000000,,,,,-4110755000.000000,2348483230000.000000,,607108563000.000000,-252761289000.000000,472560000.000000,-17209063000.000000,,,,,,-236024786000.000000,,,,,,-252761289000.000000,483196394000.000000,,499979496000.000000,,499979496000.000000,,,,-1167680000.000000,,,,,-15615422000.000000,483196394000.000000,837543668000.000000,1451372067000.000000,,2288915735000.000000
12M 2017,-782655120000.000000,1260121075000.000000,,,1260121075000.000000,,-731405203000.000000,,,-33347104000.000000,,,7672262000.000000,24054792000.000000,,-211583447000.000000,24680769000.000000,,,,,,,,,-2822905659000.000000,-11835490000.000000,,-1509819000000.000000,-2421659000.000000,-4346981808000.000000,,1341961000.000000,,488518555000.000000,200422968000.000000,2509212476000.000000,3198153999000.000000,27331509000.000000,,,,,-2693925000.000000,3224133544000.000000,,-782655120000.000000,-731517131000.000000,,-34889153000.000000,,-3973512000.000000,40187000.000000,,,-692694653000.000000,,,,,,-731517131000.000000,1491894028000.000000,,1015487439000.000000,,1015487439000.000000,,,,-1729419000.000000,,,,497706605000.000000,-19570597000.000000,1491894028000.000000,-22278223000.000000,2288915735000.000000,,2266637512000.000000
12M 2018,2693653315000.000000,1667081207000.000000,,,1667081207000.000000,,-974337683000.000000,,,-111323032000.000000,,,9491977000.000000,11051406000.000000,,-265021959000.000000,273159000.000000,,,,,,,,,-4753580347000.000000,-131035000000.000000,,1514733748000.000000,-2208934000.000000,-3372090533000.000000,,4145285000.000000,,783222239000.000000,346597309000.000000,4515437794000.000000,5645257342000.000000,49515055000.000000,,,,,29611091000.000000,5728528773000.000000,,2693653315000.000000,-373840147000.000000,94600000.000000,-9411964000.000000,,,37074000.000000,,,-364559857000.000000,,,,,,-373840147000.000000,1169661139000.000000,,1226050758000.000000,,1226050758000.000000,,,,-3001325000.000000,,,,,-53388294000.000000,1169661139000.000000,3489474307000.000000,2266637512000.000000,,5756111819000.000000
12M 2019,-2622767496000.000000,2040523213000.000000,,,2040523213000.000000,,-1347676769000.000000,,,-44739315000.000000,,,9775420000.000000,72581858000.000000,,-246586683000.000000,1582667000.000000,,,,,,,,,-3695413075000.000000,-878531393000.000000,,-2268980518000.000000,-1626804000.000000,-6844551790000.000000,,-3659143000.000000,,-22584339000.000000,90809950000.000000,3011839512000.000000,3080065123000.000000,664293814000.000000,,,,,-4375891000.000000,3736323903000.000000,,-2622767496000.000000,-721510820000.000000,26838000.000000,-16917080000.000000,,,40199000.000000,,,-704660777000.000000,,,,,,-721510820000.000000,-40842525000.000000,,,,,,,,,,,,,-40842525000.000000,-40842525000.000000,-3385120841000.000000,5756111819000.000000,,2370990978000.000000
12M 2020,763032452000.000000,1912472743000.000000,,,1912472743000.000000,,-1319247854000.000000,,,,,,40371567000.000000,51879970000.000000,-14051730000.000000,-259028126000.000000,3706522000.000000,,,,,,,,-23745047000.000000,-711306956000.000000,528712846000.000000,,-778751827000.000000,-24063260000.000000,-1009154244000.000000,,3580158000.000000,,1823090961000.000000,637008389000.000000,-609421938000.000000,1850677412000.000000,-531691584000.000000,,,,,33517618000.000000,1356083604000.000000,,763032452000.000000,-271034246000.000000,5751000.000000,-12517799000.000000,,,27954000.000000,,-258550152000.000000,,,,,,,-271034246000.000000,-243681056000.000000,,,,,,,,17318944000.000000,,,,-261000000000.000000,,-243681056000.000000,248317150000.000000,2370990978000.000000,,2619308128000.000000
12M 2021,-1139643320000.000000,1646967200000.000000,,,1646967200000.000000,,-815960281000.000000,,,,,,126956934000.000000,56564960000.000000,-17091677000.000000,-319540449000.000000,-9577872000.000000,-18000000.000000,,,,,,,23745047000.000000,4807917960000.000000,392030000000.000000,,2397354532000.000000,9354875000.000000,7630402414000.000000,,-5886906000.000000,,-1701166471000.000000,1289330230000.000000,-9087150777000.000000,-9498987018000.000000,88144304000.000000,,,,,-21616929000.000000,-9438346549000.000000,,-1139643320000.000000,-578146197000.000000,785099000.000000,-39348452000.000000,,,39045000.000000,220148000.000000,-539842038000.000000,,,,,,1000.000000,-578146197000.000000,1238748565000.000000,,140323648000.000000,1099226550000.000000,1239550198000.000000,,,,-801633000.000000,,,,,,1238748565000.000000,-479040952000.000000,2619308128000.000000,,2140267176000.000000
12M 2022,95167942000.000000,993589839000.000000,,,993589839000.000000,,-376364240000.000000,,,,,,562108756000.000000,49505590000.000000,,-435991672000.000000,8615910000.000000,,,,,,,,,2687579112000.000000,38488574000.000000,,650377813000.000000,7097885000.000000,3383543384000.000000,,6794209000.000000,,-535036165000.000000,-1434252652000.000000,-1712101892000.000000,-3681390709000.000000,-299303280000.000000,,,,,-115939845000.000000,-4089839625000.000000,,95167942000.000000,-1126092855000.000000,1836929000.000000,-125047205000.000000,-5174080000.000000,,43677000.000000,,-997752176000.000000,,,,,,,-1126092855000.000000,1021030897000.000000,,199358110000.000000,791259269000.000000,990617379000.000000,-3016327000.000000,,,-917355000.000000,,,273347200000.000000,-239000000000.000000,,1021030897000.000000,-9894016000.000000,2140267176000.000000,,2130373160000.000000
12M 2023,-884956858000.000000,928227801000.000000,,,928227801000.000000,,-399870150000.000000,,,,,,363096531000.000000,46784493000.000000,,-446706854000.000000,1550638000.000000,,,,,,,,,300947754000.000000,-200399652000.000000,,-245055656000.000000,4823262000.000000,-139684292000.000000,,12207760000.000000,,-674760616000.000000,-192768420000.000000,-761396399000.000000,-1628925435000.000000,450199531000.000000,,,,,-71836881000.000000,-1238355025000.000000,,-884956858000.000000,157622090000.000000,1229991000.000000,-8874416000.000000,-28877293000.000000,,202098000.000000,,193941710000.000000,,,,,,,157622090000.000000,-279851399000.000000,,38648000.000000,143272000.000000,181920000.000000,-4766124000.000000,,,-964290000.000000,,,-274302905000.000000,,,-279851399000.000000,-1007186167000.000000,2130373160000.000000,,1123186993000.000000
12M 2024,497246577000.000000,1040873977000.000000,,,1040873977000.000000,,-473433645000.000000,,,,,,494008483000.000000,33976453000.000000,,-466418208000.000000,5723810000.000000,,,,,,,,,-498034138000.000000,27302739000.000000,,47247073000.000000,-16791179000.000000,-440275505000.000000,,-5286618000.000000,,-126265271000.000000,126216118000.000000,-52874432000.000000,-52923585000.000000,414796448000.000000,,,,,-53795033000.000000,302791212000.000000,,497246577000.000000,-179579487000.000000,1345282000.000000,-26275156000.000000,-29117709000.000000,,26411000.000000,,-125558315000.000000,,,,,,,-179579487000.000000,245303231000.000000,,,,,-38304452000.000000,-5969791000.000000,,-1013624000.000000,,,290591098000.000000,,,245303231000.000000,562970321000.000000,1123186993000.000000,,1686157314000.000000
