Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(37 B),(93 B),(129 B),-9948.94
12M 2009,81 B,(22 B),59 B,4537.16
12M 2010,106 B,(17 B),89 B,6838.83
12M 2011,71 B,(17 B),54 B,4162.23
12M 2012,46 B,(33 B),13 B,1007.16
12M 2013,45 B,(34 B),10 B,7.89
12M 2014,62 B,(42 B),20 B,15.75
12M 2015,(20 B),(25 B),(45 B),-34.67
12M 2016,19 B,(14 B),5 B,3.97
12M 2017,48 B,(20 B),28 B,21.25
12M 2018,40 B,(50 B),(9 B),-7.19
12M 2019,49 B,(43 B),6 B,4.56
12M 2020,149 B,(13 B),137 B,105.08
12M 2021,1 B,(12 B),(11 B),-8.62
12M 2022,47 B,(22 B),25 B,18.92
12M 2023,22 B,(10 B),12 B,9.23
