Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2011,,,,,,,,,,,,,,,0.0
12M 2012,,,,,,,,,,,,,,,0.0
12M 2013,32.22,6.08,47.65,-9.35,11.33,5.37,60.06,24.91,46.63,25.61,2.2,1.13,4.11,4.11,1.43
12M 2014,71.27,17.83,96.7,-7.6,5.12,4.98,20.47,15.43,19.84,14.82,0.96,0.9,3.68,3.68,1.36
12M 2015,89.75,21.35,120.02,-8.92,4.07,3.36,17.1,13.4,11.12,8.96,0.66,0.53,3.21,3.21,1.32
12M 2016,52.88,31.15,118.17,-34.14,6.9,9.76,11.72,10.03,9.15,7.55,0.52,0.43,4.39,4.39,1.17
12M 2017,16.59,29.57,109.55,-63.39,22.0,18.7,12.34,12.14,11.28,10.12,0.57,0.49,383.75,383.75,1.0
12M 2018,21.09,38.05,132.57,-73.43,17.3,10.21,9.59,7.47,8.25,7.73,0.44,0.38,4.79,4.79,1.18
12M 2019,42.59,67.67,193.15,-82.89,8.57,5.49,5.39,5.66,3.98,3.78,0.25,0.24,7.82,7.82,1.09
12M 2020,89.95,87.19,255.9,-78.76,4.06,4.64,4.19,3.47,1.96,1.98,0.14,0.15,-1.03,-1.03,0.67
12M 2021,109.45,151.37,365.81,-104.99,3.33,3.46,2.41,2.2,1.85,2.17,0.12,0.12,0.8,0.8,1.56
12M 2022,56.94,113.8,198.29,-27.55,6.41,6.09,3.21,3.13,2.65,2.44,0.15,0.15,1.28,1.28,1.56
12M 2023,59.66,132.11,234.52,-42.75,6.12,6.01,2.76,2.89,1.97,2.05,0.11,0.11,-9.25,-9.25,0.95
12M 2024,60.27,114.48,194.39,-19.64,6.06,5.03,3.19,2.74,2.29,2.41,0.12,0.13,-5.19,-5.19,0.91
