Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(106 B),(63 B),(169 B),-9399.01
12M 2012,(187 B),(82 B),(268 B),-27.86
12M 2013,(385 B),(244 B),(629 B),-65.33
12M 2014,(89 B),(329 B),(418 B),-42.92
12M 2015,918 B,"(1,198 B)",(280 B),-20.66
12M 2016,"(7,762 B)",(611 B),"(8,374 B)",-616.98
12M 2017,"(5,960 B)","(2,435 B)","(8,394 B)",-618.42
12M 2018,"3,035 B","(2,332 B)",703 B,51.77
12M 2019,"9,014 B",(400 B),"8,614 B",634.61
12M 2020,411 B,,411 B,30.28
12M 2021,193 B,(245 B),(52 B),-1.98
12M 2022,(107 B),(115 B),(221 B),-7.68
12M 2023,"2,324 B",(19 B),"2,304 B",80.00
12M 2024,"(2,384 B)",(18 B),"(2,402 B)",-83.38
