Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2007,1.05,1.05,0.68,2.83,0.0,0.0,0.4,0.24,1.64
12M 2008,1.14,1.14,0.89,3.43,0.0,0.0,0.49,0.26,2.0
12M 2009,1.19,1.19,0.89,3.03,0.0,0.0,0.43,0.29,1.59
12M 2010,1.07,1.07,1.29,3.73,0.0,0.0,0.88,0.34,2.29
12M 2011,0.97,0.96,1.67,4.24,0.0,0.0,1.03,0.39,2.79
12M 2012,1.27,1.25,2.36,5.14,0.0,0.0,1.77,0.46,3.68
12M 2013,1.21,1.2,2.55,5.53,0.0,0.0,1.83,0.46,3.95
12M 2014,1.03,1.03,2.62,6.26,0.0,0.0,2.09,0.42,4.58
12M 2015,0.97,0.96,4.6,9.19,0.0,0.0,4.06,0.5,7.02
12M 2016,1.22,1.21,2.2,4.84,0.0,0.0,1.59,0.46,3.24
12M 2017,1.54,1.53,1.2,3.96,0.0,0.0,0.52,0.3,2.16
12M 2018,1.23,1.22,1.03,2.78,0.0,0.0,0.92,0.37,1.5
12M 2019,1.46,1.45,1.04,2.87,0.0,0.0,0.7,0.36,1.58
12M 2020,0.92,0.91,1.44,3.16,0.0,0.0,1.06,0.46,1.89
12M 2021,0.71,0.7,1.74,3.41,0.0,0.0,1.66,0.51,2.15
12M 2022,0.95,0.95,1.58,3.6,0.0,0.0,1.35,0.44,2.27
12M 2023,1.22,1.22,1.04,3.17,0.0,0.0,0.78,0.33,1.8
12M 2024,1.9,1.9,0.55,2.39,0.0,0.0,0.24,0.23,1.08
