Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,0.40 B,17.73,50.25,0.30,,1.76%,4.97%,22.51%,2.09
12M 2008,1.20 B,4.22,29.62,0.09,,0.95%,3.27%,7.68%,1.27
12M 2009,1.20 B,4.78,41.84,0.16,,1.18%,3.58%,9.77%,1.82
12M 2010,1.20 B,5.34,31.84,0.11,,1.04%,3.87%,8.26%,1.35
12M 2011,1.20 B,12.77,12.22,0.09,,2.01%,8.52%,13.12%,1.93
12M 2012,1.20 B,21.15,9.31,0.09,,2.48%,12.76%,13.85%,1.90
12M 2013,1.20 B,32.72,11.92,0.28,,3.06%,16.95%,13.28%,1.85
12M 2014,1.20 B,37.94,12.73,0.30,,2.73%,17.06%,13.20%,1.67
12M 2015,1.20 B,40.84,11.02,0.28,,2.81%,25.81%,10.60%,1.54
12M 2016,1.20 B,-13.88,-45.03,0.35,,-0.73%,-3.54%,7.74%,0.99
12M 2017,1.20 B,3.62,151.93,0.33,,0.16%,0.65%,4.15%,0.81
12M 2018,1.20 B,-32.02,-11.56,0.22,96.16 B,-2.12%,-5.89%,2.36%,0.56
12M 2019,1.20 B,-36.73,-9.09,0.21,110.51 B,-2.05%,-5.90%,3.88%,0.89
12M 2020,1.20 B,-148.31,-1.03,0.23,(77.35 B),-10.07%,-31.80%,-8.74%,-1.87
12M 2021,1.20 B,-86.06,-2.46,2.50,(56.14 B),-7.04%,-24.04%,-8.37%,-1.81
12M 2022,1.20 B,10.20,51.47,0.41,51.35 B,0.80%,2.87%,2.05%,0.52
12M 2023,1.20 B,52.60,12.36,0.27,168.77 B,3.86%,12.25%,12.93%,2.78
12M 2024,1.39 B,241.68,2.48,0.27,194.87 B,15.26%,36.49%,12.36%,4.04
